year,apples and oranges,oranges and apples
1900,2.297912794768653e-08,1.733053250907446e-08
1901,2.293682476173231e-08,1.5571996825336497e-08
1902,2.2937493728466172e-08,1.6306785681023207e-08
1903,2.2830561861665796e-08,1.7147097821000405e-08
1904,2.2315980047998048e-08,1.4187629476009837e-08
1905,2.2239387855092577e-08,1.3800543684018759e-08
1906,2.142024091433825e-08,1.3504674680118813e-08
1907,1.953613685902665e-08,1.445583064363376e-08
1908,2.12536130441064e-08,1.6196983778003574e-08
1909,2.2168093019977623e-08,1.6536302501915908e-08
1910,2.2051883248013534e-08,1.5683006401471085e-08
1911,2.4965911861661386e-08,1.58948991587796e-08
1912,2.8056983339804934e-08,1.8409568964499508e-08
1913,3.107707405699703e-08,1.8785434549187637e-08
1914,3.413130243514116e-08,1.9756396724928445e-08
1915,3.342224318731673e-08,1.8444943532853438e-08
1916,3.4257962078232396e-08,1.6382413647875183e-08
1917,3.593640311518241e-08,1.5711799099855335e-08
1918,3.4939810021418697e-08,1.4583264976561087e-08
1919,3.054268699065332e-08,1.1870868407307507e-08
1920,2.9292004599668076e-08,1.1908912427622502e-08
1921,2.9108934580206787e-08,1.0812747039004985e-08
1922,3.0494999398682817e-08,1.262855698585292e-08
1923,3.075570357914868e-08,1.40736640040297e-08
1924,3.060529654311647e-08,1.5482173122892207e-08
1925,3.2266371376353323e-08,1.7722659903122003e-08
1926,3.659250520847225e-08,1.977450780105932e-08
1927,3.581663394441088e-08,2.0667514358648934e-08
1928,3.430693779853706e-08,2.0313572324237583e-08
1929,3.055100905591246e-08,1.819913258982453e-08
1930,2.791424765938696e-08,1.9054075817148682e-08
1931,2.7671435143261647e-08,1.776228826720429e-08
1932,2.9531168399543614e-08,1.7656894351387413e-08
1933,2.870738983037516e-08,1.549955100773762e-08
1934,2.990190672053877e-08,1.5759590093240254e-08
1935,2.8968961602553785e-08,1.778386555478002e-08
1936,3.119478135328788e-08,1.860590434102757e-08
1937,3.4478577572359474e-08,1.8687344782719606e-08
1938,3.554221311707906e-08,1.8769437052209726e-08
1939,3.1934563001926164e-08,1.9072932820409146e-08
1940,3.22709968350995e-08,2.129368792402886e-08
1941,3.2382883406535864e-08,2.3380363470667676e-08
1942,3.5998094330810404e-08,2.2080379588221684e-08
1943,3.8173836488678396e-08,2.2519612746003352e-08
1944,3.72897431980387e-08,2.1480954879939318e-08
1945,3.7559207902556786e-08,2.2616383559587964e-08
1946,3.8619999848903726e-08,2.1823747951645245e-08
1947,3.90713391481715e-08,2.61120332102825e-08
1948,4.0291766304331334e-08,2.5466035193298456e-08
1949,3.658954320481403e-08,2.594945351454468e-08
1950,3.5237067232328304e-08,2.5403300931068987e-08
1951,3.482708075898598e-08,2.524984959213177e-08
1952,4.375301559151573e-08,2.618418525652493e-08
1953,4.4248254219400196e-08,2.564156566440902e-08
1954,4.360880680374736e-08,2.0530018407516337e-08
1955,4.3061268955353026e-08,1.7376449858362364e-08
1956,4.475343850269503e-08,1.7093095296326155e-08
1957,4.335119123994551e-08,1.7406150275091544e-08
1958,4.371678920454615e-08,1.6309454568620907e-08
1959,3.8697790384821315e-08,1.4168804772309227e-08
1960,3.774623783774673e-08,1.535826435869073e-08
1961,3.671852651694023e-08,1.4551914118143829e-08
1962,3.553820960923635e-08,1.5414741959064922e-08
1963,3.5707813527447695e-08,1.4045953872221517e-08
1964,3.892591370267619e-08,1.2448057263541353e-08
1965,4.072234085256937e-08,1.3455912479492279e-08
1966,3.8717122670593544e-08,1.3566403012881574e-08
1967,4.2600215371153224e-08,1.3016260271995047e-08
1968,4.624442325105806e-08,1.2593773543853206e-08
1969,5.100372946209575e-08,1.2483124097898266e-08
1970,5.580868554590422e-08,1.2917528768863207e-08
1971,5.8975550363906034e-08,1.4008061203060355e-08
1972,6.257940510234761e-08,1.3969120788675277e-08
1973,6.736417109845913e-08,1.3970517385798942e-08
1974,7.121016177518464e-08,1.3046447358952155e-08
1975,7.683963307699873e-08,1.3564112571235703e-08
1976,8.105707050803141e-08,1.3214228984846445e-08
1977,8.487555019920379e-08,1.368195795944541e-08
1978,9.097522937365607e-08,1.3817062218574833e-08
1979,9.686260673705657e-08,1.3926749279596125e-08
1980,1.0276929831734957e-07,1.4105497208752712e-08
1981,1.0605843346413377e-07,1.5192434849835883e-08
1982,1.0866887586605653e-07,1.5857736219387116e-08
1983,1.1475637183368446e-07,1.6052709027127218e-08
1984,1.1791259029487427e-07,1.5179863957096425e-08
1985,1.1880156896333055e-07,1.4765130865972737e-08
1986,1.210259628387738e-07,1.5211033395158754e-08
1987,1.2113534645205197e-07,1.5246473323928175e-08
1988,1.2570270694186751e-07,1.4687422813678249e-08
1989,1.2849597579618024e-07,1.3624521221539915e-08
1990,1.2743783212825527e-07,1.4509861526576121e-08
1991,1.3210451983119193e-07,1.4991270669284518e-08
1992,1.3495692214553806e-07,1.5315305388975886e-08
1993,1.356163472949439e-07,1.4167842201016713e-08
1994,1.3787564734357716e-07,1.4008780540348502e-08
1995,1.3852831783265985e-07,1.4372507858454296e-08
1996,1.3995924171997638e-07,1.4631763277174668e-08
1997,1.413063736497934e-07,1.3749930709889517e-08
1998,1.3990109870576362e-07,1.3570866948716304e-08
1999,1.4021181247159122e-07,1.3602668830214881e-08
2000,1.41702920841702e-07,1.4201750865583396e-08
