year,bits and pieces,pieces and bits
1900,3.6337906295091926e-09,3.2402409089193895e-09
1901,4.4723057479600925e-09,2.8767878745838972e-09
1902,3.72692145663341e-09,2.520661068761143e-09
1903,3.296757430540761e-09,2.3650732800766558e-09
1904,2.9771803276647445e-09,2.4403711432593613e-09
1905,3.1684909695961494e-09,2.4403711432593613e-09
1906,2.19515777777346e-09,1.6825404561667971e-09
1907,2.1730269726484762e-09,1.5549663461606705e-09
1908,1.2664636878894392e-09,1.7746621632548048e-09
1909,1.765480674352306e-09,1.7687474104402919e-09
1910,1.9791214540226018e-09,1.6695388008588656e-09
1911,2.73389839338429e-09,1.061612456673292e-09
1912,2.903200679860163e-09,1.1795435025544317e-09
1913,3.2984578719157706e-09,1.5645861035323045e-09
1914,3.2236177219654596e-09,1.5951892584631366e-09
1915,4.524072656180473e-09,1.1722111931915841e-09
1916,4.653488340698532e-09,1.0724077974850437e-09
1917,5.4691795695457495e-09,1.0699811512994627e-09
1918,5.653729976248403e-09,1.0699811512994627e-09
1919,6.395025826349304e-09,9.520501054183228e-10
1920,6.162095357785192e-09,3.443611586360719e-10
1921,8.058771110747948e-09,1.0287139394295406e-10
1922,8.086917453147587e-09,2.312122556905446e-10
1923,9.356800699324352e-09,2.312122556905446e-10
1924,9.869919992411269e-09,1.2834086174759055e-10
1925,1.1639976284426112e-08,1.2834086174759055e-10
1926,1.1912829643380615e-08,1.2834086174759055e-10
1927,1.5318199946585357e-08,3.5785065387118817e-10
1928,1.7765727095791258e-08,4.785267737617005e-10
1929,1.8251782260162282e-08,4.852622748074964e-10
1930,2.4931539007891753e-08,7.971921852803884e-10
1931,3.196456380535499e-08,1.0683712327517826e-09
1932,3.530473802193513e-08,1.5622127084010832e-09
1933,4.7153936929714546e-08,1.5622127084010832e-09
1934,5.1019520061082857e-08,1.7964193148906865e-09
1935,5.4132503059443696e-08,1.675743195000174e-09
1936,6.319908575041261e-08,1.5406668322067878e-09
1937,6.419000979164733e-08,1.2287369217338956e-09
1938,7.461868254240604e-08,9.575578742625014e-10
1939,8.947746615861617e-08,4.637163986132009e-10
1940,1.1176783905529422e-07,4.637163986132009e-10
1941,1.391787418330332e-07,7.035630490902025e-10
1942,1.5862108188840246e-07,7.035630490902025e-10
1943,1.8528413765166768e-07,1.1784785845593758e-09
1944,2.0921738284686494e-07,1.3846462230761502e-09
1945,2.1741331934777008e-07,1.3846462230761502e-09
1946,2.2784429121180952e-07,1.3846462230761502e-09
1947,2.2375440954038238e-07,1.5583958885250532e-09
1948,2.2376944602037998e-07,1.033026204260474e-09
1949,2.3723635165070635e-07,1.033026204260474e-09
1950,2.422353631253189e-07,8.275736603938607e-10
1951,2.50073474586784e-07,1.5668194836797917e-09
1952,2.681958864119467e-07,1.893029526784622e-09
1953,2.895980188274575e-07,2.050232047626618e-09
1954,3.0613332693433086e-07,2.0228168505300103e-09
1955,3.2783435800170277e-07,1.9892085439161225e-09
1956,3.4515169127542175e-07,2.1968259433791104e-09
1957,3.615043530516956e-07,2.1103581739266376e-09
1958,3.769068126768804e-07,1.3318353404250566e-09
1959,3.9711527431112484e-07,1.1576713556036923e-09
1960,4.1331146574674626e-07,1.2421856559236793e-09
1961,4.3742367505531353e-07,1.4857665574043365e-09
1962,4.644962753438556e-07,1.7740001689858786e-09
1963,4.872125328538234e-07,1.8548296866681214e-09
1964,5.140977251841657e-07,1.7108865316536485e-09
1965,5.393526136503774e-07,1.7239733014167464e-09
1966,5.655820114152428e-07,2.006779841507671e-09
1967,5.911391646343641e-07,1.974818376287197e-09
1968,6.198711207819738e-07,2.112885426143661e-09
1969,6.391240801357462e-07,2.2276517812931066e-09
1970,6.655539424979143e-07,2.537565590194595e-09
1971,6.86099749775642e-07,2.851640637909928e-09
1972,7.199712975009781e-07,2.810887332417776e-09
1973,7.511880594382855e-07,2.8137999232212353e-09
1974,7.787048805139665e-07,2.968258337533923e-09
1975,8.037351679439959e-07,2.4729974893286257e-09
1976,8.279038423708586e-07,2.0516021183501566e-09
1977,8.447433354723849e-07,1.855951701847301e-09
1978,8.658913409779043e-07,1.8424162433789653e-09
1979,8.79698180078492e-07,1.90982375152566e-09
1980,8.923027112116091e-07,1.6441007047848392e-09
1981,9.031865315327943e-07,1.4682384276630346e-09
1982,9.208479682903155e-07,1.6181562677099392e-09
1983,9.378959729490686e-07,1.960435845406648e-09
1984,9.539892799535567e-07,1.8705571377556194e-09
1985,9.746305616533033e-07,1.8539687880141692e-09
1986,9.913378427991608e-07,1.90908661894846e-09
1987,1.005699095050058e-06,1.979345893537194e-09
1988,1.0278274586994485e-06,2.0188791749475854e-09
1989,1.0324408374578248e-06,2.043093551483212e-09
1990,1.0322700397326554e-06,1.879706342958595e-09
1991,1.0466843119211994e-06,1.8160228559034002e-09
1992,1.0501332285020988e-06,1.8382411148820665e-09
1993,1.0486481652551203e-06,2.001221775595395e-09
1994,1.0473988128875282e-06,2.14073360625479e-09
1995,1.0429362616700847e-06,2.2773303560390853e-09
1996,1.0423866770383126e-06,2.356272113931571e-09
1997,1.0524033347637994e-06,2.306497596090854e-09
1998,1.0476490359678792e-06,2.400241061462083e-09
1999,1.0446915183592865e-06,2.396979081886741e-09
2000,1.052292362135887e-06,2.2529461907172532e-09
