year,bone and skin,skin and bone
1900,5.739777805824353e-09,1.3326219464038225e-07
1901,6.583988321207102e-09,1.3350399741263177e-07
1902,6.843373210700203e-09,1.3123406119216102e-07
1903,6.99053502385892e-09,1.293581363851334e-07
1904,8.16995518856548e-09,1.3239086730866747e-07
1905,9.015397190686209e-09,1.3843226756967854e-07
1906,8.267091574801609e-09,1.38484065921001e-07
1907,9.397460230621744e-09,1.3976800181511197e-07
1908,8.714696060024046e-09,1.4001482091994891e-07
1909,9.4480609288564e-09,1.4215053654017697e-07
1910,9.797446948971761e-09,1.402310599545637e-07
1911,8.411473263945725e-09,1.335713349291469e-07
1912,8.078674205793035e-09,1.2171090720983608e-07
1913,8.504575234523161e-09,1.1579968769595948e-07
1914,8.734098880644074e-09,1.1416458681586964e-07
1915,1.0742876160081088e-08,1.0817764106718641e-07
1916,1.1360342277999536e-08,1.082713122015276e-07
1917,1.1532112003426979e-08,1.1543634080370323e-07
1918,1.216714482340667e-08,1.1567927041663699e-07
1919,1.2403024377391096e-08,1.169935331628886e-07
1920,1.2053628690405256e-08,1.2803399442238928e-07
1921,1.2380620893561099e-08,1.296311100367526e-07
1922,1.065835890973992e-08,1.364389206377175e-07
1923,1.0042944174694566e-08,1.31998533881017e-07
1924,9.924227582582188e-09,1.2597579268636141e-07
1925,9.928061341289507e-09,1.227345348210816e-07
1926,1.0617858592354423e-08,1.282477187146215e-07
1927,1.090620827775319e-08,1.222870613976872e-07
1928,1.0819536861677344e-08,1.168176526781092e-07
1929,1.1143573532189168e-08,1.1099296680163106e-07
1930,1.0648942148718175e-08,1.15261315587161e-07
1931,1.0206432627628866e-08,1.2031867167662723e-07
1932,1.0756884882834328e-08,1.200159786948366e-07
1933,1.1509413208202598e-08,1.2378835502678343e-07
1934,1.0824406434676145e-08,1.2059901932648387e-07
1935,1.0697581265262102e-08,1.196814014876273e-07
1936,1.1290904092639156e-08,1.1895119372035928e-07
1937,1.218862376901291e-08,1.1236466430324705e-07
1938,1.2158053904912488e-08,1.0122708950431405e-07
1939,1.1249543685476482e-08,9.807187779336296e-08
1940,9.51535291036722e-09,8.741302542120925e-08
1941,9.871128668427686e-09,8.305560180879975e-08
1942,1.0259614419932156e-08,8.624740168082313e-08
1943,1.0571376837401455e-08,8.784046442603507e-08
1944,1.0228565153599536e-08,9.15305480615152e-08
1945,1.128938874130268e-08,9.670548739570961e-08
1946,1.1514097548419905e-08,9.757486620274949e-08
1947,1.230201907802859e-08,9.70598187853357e-08
1948,1.284580956685742e-08,9.88746939243969e-08
1949,1.2646733232075341e-08,9.250391335464364e-08
1950,1.0929810405941557e-08,8.976282715535332e-08
1951,1.0346364669772917e-08,8.877409333038092e-08
1952,9.53623492870394e-09,8.598074492065829e-08
1953,1.0771027736389271e-08,8.822797863723103e-08
1954,1.0323126107904457e-08,8.711375473361267e-08
1955,1.1172255969566741e-08,9.159185587748198e-08
1956,9.9578530659323e-09,9.309471812482936e-08
1957,1.1248879288367725e-08,9.32684460695578e-08
1958,1.0596925222237732e-08,9.076488555986068e-08
1959,1.0356407414186769e-08,9.012713212249882e-08
1960,1.0010705391622869e-08,8.897735775154863e-08
1961,1.0399458671190537e-08,9.065009473222371e-08
1962,1.0596914151728145e-08,8.762993180295403e-08
1963,1.1551540287805093e-08,8.786613517727407e-08
1964,1.1674191498421495e-08,8.851232631755326e-08
1965,1.2858759239937306e-08,8.932366896934648e-08
1966,1.3896224389440905e-08,9.021240418175377e-08
1967,1.3990124975160612e-08,8.772776779622912e-08
1968,1.5165126154847997e-08,8.598881287965757e-08
1969,1.5711784492492394e-08,8.646738149296698e-08
1970,1.6814088930696058e-08,8.616015248882494e-08
1971,1.7651189775686708e-08,8.491286767371113e-08
1972,1.932844960671e-08,8.345387813341836e-08
1973,1.9381813800726074e-08,8.414191695774573e-08
1974,2.0135447289674043e-08,8.684315880699448e-08
1975,1.8744426657660692e-08,8.84262081176804e-08
1976,1.8616906940652607e-08,8.816086627394526e-08
1977,1.8107540681163873e-08,8.905506149974636e-08
1978,1.806544170408169e-08,9.00280745349694e-08
1979,1.740278274463071e-08,9.101663904300038e-08
1980,1.7971631522236845e-08,9.055612428968526e-08
1981,1.8284708705462727e-08,9.111126974310172e-08
1982,1.975350023235884e-08,9.148749300199757e-08
1983,1.9678644166568456e-08,9.187035022411344e-08
1984,1.9613737289076686e-08,9.239389689045094e-08
1985,1.9496301858648986e-08,9.399303231770263e-08
1986,1.921324734231535e-08,9.337751431605565e-08
1987,1.8871877394133207e-08,9.267867367197217e-08
1988,1.8180680032881772e-08,9.180223795432088e-08
1989,1.735120169567482e-08,9.191152445480505e-08
1990,1.726804220051178e-08,8.9703369811543e-08
1991,1.6950079548272434e-08,8.708754019513623e-08
1992,1.6425761104451756e-08,8.401904535596369e-08
1993,1.6792236525889744e-08,8.329312477834655e-08
1994,1.6684576478346154e-08,8.185597593397225e-08
1995,1.6529064230425787e-08,8.084623481785515e-08
1996,1.648287774919892e-08,7.989908293711981e-08
1997,1.691491347980253e-08,8.12474821072178e-08
1998,1.732563386508401e-08,8.19783635789643e-08
1999,1.784256866421696e-08,8.20623179409452e-08
2000,1.7043091906504548e-08,8.193764891584188e-08
