year,bride and groom,groom and bride
1900,2.711183311049359e-07,1.3247774058311457e-08
1901,2.6911787643912887e-07,1.4297956296704939e-08
1902,2.605262227894923e-07,1.3888369019647111e-08
1903,2.63493749494018e-07,1.4767409335052813e-08
1904,2.661069983177024e-07,1.1524796569454106e-08
1905,2.690391775076303e-07,1.145266886088641e-08
1906,2.630116663507717e-07,1.027097695782686e-08
1907,2.67251878389401e-07,1.1492034942709291e-08
1908,2.631533624342097e-07,9.378088210760486e-09
1909,2.8396998998290813e-07,9.682665764414774e-09
1910,2.892731845330739e-07,8.50434137397319e-09
1911,2.821353295593251e-07,9.96460782141741e-09
1912,2.9047981371060114e-07,1.0792060277177638e-08
1913,2.9479436864614836e-07,1.0377411422243402e-08
1914,2.8395117830846773e-07,8.962411527210382e-09
1915,2.9170733678585137e-07,8.983486732283552e-09
1916,2.689688492009599e-07,7.992911063173632e-09
1917,2.643200375161493e-07,7.2339849348829995e-09
1918,2.8317771496747366e-07,7.679811041074101e-09
1919,2.829255862368818e-07,8.67383266798884e-09
1920,2.84203257538973e-07,9.549959878452086e-09
1921,3.177950357155116e-07,1.040333372622929e-08
1922,3.2393619570874374e-07,1.0238558516879285e-08
1923,3.297601698371011e-07,1.004663020236813e-08
1924,3.3943615626189476e-07,1.0060618885595777e-08
1925,3.363010928783946e-07,8.067231906304175e-09
1926,3.5141012658509603e-07,7.149802979825433e-09
1927,3.543667460422942e-07,6.253327094236332e-09
1928,3.333071987933676e-07,5.399678196634941e-09
1929,3.282148528833367e-07,6.23034284481199e-09
1930,3.320668768529751e-07,5.728708808914819e-09
1931,3.3592234670111664e-07,5.873593801806822e-09
1932,3.389162173128568e-07,6.036681694204e-09
1933,3.2415383253793705e-07,5.141364350131588e-09
1934,3.3437917342940947e-07,7.347539782947316e-09
1935,3.3560379722860236e-07,8.110209329511721e-09
1936,3.734169471731568e-07,8.609892418068706e-09
1937,3.9235903189930153e-07,9.509227881311842e-09
1938,3.9583391469350767e-07,9.873962885415771e-09
1939,4.233031264241508e-07,1.1072773269711028e-08
1940,4.3055514096858515e-07,1.1802669207052117e-08
1941,4.298710157993721e-07,1.0835245986154771e-08
1942,4.571455207713626e-07,1.2828288431521175e-08
1943,4.326512791522471e-07,2.049249964957462e-08
1944,4.5692864377880736e-07,2.598168272590787e-08
1945,4.729140414827526e-07,2.6166526477324126e-08
1946,4.444039377446022e-07,2.606932074179978e-08
1947,4.449078123374457e-07,2.6710041916328768e-08
1948,4.33984496149366e-07,2.6463475292067984e-08
1949,4.1475388031945014e-07,2.4370184544978254e-08
1950,4.130493573205131e-07,1.7685233071646726e-08
1951,3.953686956873323e-07,1.2531824831820058e-08
1952,3.858003965184764e-07,1.2447027559441587e-08
1953,3.963858528394886e-07,1.2244170153964871e-08
1954,4.055754561400298e-07,1.3159030833241405e-08
1955,4.2338545793084243e-07,1.3846771443734187e-08
1956,4.285153302038428e-07,1.5400671912349902e-08
1957,4.4461337494234545e-07,1.5511968765036244e-08
1958,4.302508735319423e-07,1.5411314042384254e-08
1959,4.1986247948219303e-07,1.7815013817320694e-08
1960,4.2792726356084234e-07,1.8925872175001853e-08
1961,4.113537018949184e-07,1.8021810631120768e-08
1962,4.122686006548447e-07,1.8204994860810634e-08
1963,4.046371845208999e-07,1.7154236646245632e-08
1964,3.958372277576164e-07,1.653522553403595e-08
1965,4.0518221476405963e-07,1.811246038469732e-08
1966,4.1070084593514924e-07,1.5645009264288386e-08
1967,3.946734907460987e-07,1.3661538234011061e-08
1968,3.990004285065701e-07,1.322008793309364e-08
1969,3.864998383562579e-07,1.3990206521041769e-08
1970,3.955623869725652e-07,1.4911369833336963e-08
1971,3.959087202203599e-07,1.5372907466845324e-08
1972,3.977063554673675e-07,1.4646484576750851e-08
1973,3.995661927039659e-07,1.605672336757458e-08
1974,4.0356603449507945e-07,1.6698422969759922e-08
1975,4.302172120773662e-07,1.887250191837505e-08
1976,4.385120413452626e-07,1.8986654681014363e-08
1977,4.5500227826725646e-07,2.0506281878900675e-08
1978,4.6776570451965783e-07,2.075979354294282e-08
1979,4.772795280898785e-07,2.0410836901582237e-08
1980,4.822623003798907e-07,2.003813644378484e-08
1981,5.098116652010479e-07,2.0911910730836425e-08
1982,5.085951737855104e-07,1.9509981951421855e-08
1983,5.280170641037378e-07,2.0067464297422536e-08
1984,5.23937977701751e-07,1.7927587283742393e-08
1985,5.320190515435894e-07,2.0055245525793123e-08
1986,5.407047505607514e-07,2.0331874880137006e-08
1987,5.496223481417571e-07,2.0473905679956643e-08
1988,5.470150482419658e-07,2.0534214001785174e-08
1989,5.582471080955997e-07,2.0289086301900864e-08
1990,5.713627921265031e-07,2.112084951576078e-08
1991,5.900399984477238e-07,2.223263074236608e-08
1992,5.882264729909333e-07,1.9360642034005338e-08
1993,5.884116449956471e-07,2.017422572251983e-08
1994,6.133406155025714e-07,2.0229329628085324e-08
1995,6.276735508490918e-07,2.06163292429792e-08
1996,6.359435983530457e-07,2.1507264231462083e-08
1997,6.417688449238719e-07,1.9451793535034996e-08
1998,6.423233078756141e-07,1.9122635972386913e-08
1999,6.583700249862545e-07,1.9926474673082064e-08
2000,6.837694954686668e-07,1.9590799104490797e-08
