year,cause and effect,effect and cause
1900,2.2565850503752927e-06,5.686625648149146e-08
1901,2.2877990957681506e-06,5.303477630391739e-08
1902,2.3040171204987323e-06,5.3815998398339574e-08
1903,2.311387522776645e-06,5.001362492405649e-08
1904,2.3018493975663593e-06,4.558327678015418e-08
1905,2.402338709929706e-06,4.457572088429578e-08
1906,2.4309149613900767e-06,4.207779787300327e-08
1907,2.4932885739506868e-06,4.1331439485211725e-08
1908,2.5277176105881997e-06,4.66246559535247e-08
1909,2.5876986247754175e-06,4.426704080280024e-08
1910,2.573184337352684e-06,4.543572017829638e-08
1911,2.6115483418972677e-06,4.545696815786268e-08
1912,2.5468899913505543e-06,4.2111561856675705e-08
1913,2.433833163451027e-06,4.321976678132801e-08
1914,2.4077496329409446e-06,4.672970716728437e-08
1915,2.3538609542786815e-06,4.48462761053798e-08
1916,2.3098487018964017e-06,4.700181359990856e-08
1917,2.3167271245532513e-06,4.575374937651081e-08
1918,2.2983907815695862e-06,4.5998449890330817e-08
1919,2.3070541560952866e-06,5.108646218752812e-08
1920,2.3674503464933745e-06,5.407712414370484e-08
1921,2.3800035872259935e-06,5.3699395485828916e-08
1922,2.363971327261944e-06,5.247474148856973e-08
1923,2.3148001448346027e-06,4.971896968733855e-08
1924,2.372425899669192e-06,5.06118841439981e-08
1925,2.3775428813012567e-06,5.0865884393402894e-08
1926,2.414057064470399e-06,4.481066403653041e-08
1927,2.4009482422522003e-06,4.145372579327551e-08
1928,2.4148670151800744e-06,4.001691188732741e-08
1929,2.4432497178444076e-06,3.460602297579639e-08
1930,2.4839922616592958e-06,3.243715592158937e-08
1931,2.497746932712224e-06,3.194127515656778e-08
1932,2.5306533026585905e-06,3.259470992318064e-08
1933,2.5916265613545875e-06,3.2899615682551494e-08
1934,2.6022102801448455e-06,3.110815724857322e-08
1935,2.5757465503975903e-06,2.9044364968644484e-08
1936,2.579892468292298e-06,3.225797003324006e-08
1937,2.5153010965490404e-06,3.325697319914564e-08
1938,2.377655040472096e-06,3.168906403156718e-08
1939,2.2967619354322518e-06,2.8562060296253936e-08
1940,2.160846305189677e-06,3.005805837563713e-08
1941,2.0465939201130823e-06,2.934645851723364e-08
1942,1.966402512566999e-06,3.243658481493534e-08
1943,1.9383824521363683e-06,3.252328644493779e-08
1944,1.9550903347058986e-06,3.2322169290261675e-08
1945,2.0018385389976497e-06,3.458968819306359e-08
1946,2.0565082777019535e-06,3.482954596163117e-08
1947,2.1236275991043385e-06,3.213289007890958e-08
1948,2.2067725683630864e-06,3.4408661983168336e-08
1949,2.249040651491896e-06,3.1697354336517636e-08
1950,2.23455269729048e-06,3.0547233663215575e-08
1951,2.233089010721707e-06,3.101332926977055e-08
1952,2.2780722466515205e-06,3.149291010513216e-08
1953,2.257856431851581e-06,3.247413113812873e-08
1954,2.261206946384066e-06,3.2716959118074736e-08
1955,2.2457420284029335e-06,3.195254333343555e-08
1956,2.266902567121016e-06,3.187673498177597e-08
1957,2.283192588643195e-06,3.305518382028845e-08
1958,2.3196089351529277e-06,3.27329085820465e-08
1959,2.3097996297849477e-06,3.28747828126641e-08
1960,2.304897203637373e-06,3.495703630134501e-08
1961,2.3097407328975805e-06,3.6854852566595546e-08
1962,2.355504360451732e-06,3.498249421490002e-08
1963,2.355789601235106e-06,3.511564297279232e-08
1964,2.360142275392718e-06,3.478065928121308e-08
1965,2.3567537001310616e-06,3.46791566336562e-08
1966,2.34774234440595e-06,3.285106370265468e-08
1967,2.3499053319093425e-06,3.032644298382538e-08
1968,2.319780953996542e-06,2.874219351015458e-08
1969,2.298644823944025e-06,2.8284311270094468e-08
1970,2.3052270370677822e-06,2.8574514084254788e-08
1971,2.314293212180019e-06,2.8010293501301575e-08
1972,2.3361809177962253e-06,2.7740229204978713e-08
1973,2.325174624015095e-06,2.7714475032374656e-08
1974,2.3233512404122588e-06,2.8187925850607443e-08
1975,2.3047293272579087e-06,2.7014604220276794e-08
1976,2.275398247978241e-06,2.742071376309647e-08
1977,2.25156365323593e-06,2.6190607464528422e-08
1978,2.2338813516447383e-06,2.5675054974940078e-08
1979,2.1890166144495586e-06,2.487845897149375e-08
1980,2.195879769065609e-06,2.3903292999711516e-08
1981,2.182334216830181e-06,2.2355988173778614e-08
1982,2.196243528373998e-06,2.2463734291362185e-08
1983,2.2041263473430002e-06,2.1796368529503063e-08
1984,2.2186519237672135e-06,2.1675347126286808e-08
1985,2.2474618351761166e-06,2.092256701026672e-08
1986,2.2565359125386356e-06,1.9971032766011706e-08
1987,2.2483639595195977e-06,2.0142939397798417e-08
1988,2.264877078265012e-06,2.0274223363639773e-08
1989,2.2512039521416227e-06,1.968497660907533e-08
1990,2.262395089555217e-06,1.970274392645458e-08
1991,2.2559955732098e-06,1.8542542102952175e-08
1992,2.2465495135293168e-06,1.744690129074871e-08
1993,2.2700504993216394e-06,1.857671830846857e-08
1994,2.2723682166412932e-06,1.8366268674558613e-08
1995,2.272807211259728e-06,1.742211473896939e-08
1996,2.3141825705254504e-06,1.793094787332678e-08
1997,2.3148691354890616e-06,1.7890986505778428e-08
1998,2.326107206111298e-06,1.8464385788859634e-08
1999,2.3285108170512103e-06,1.9039912296792138e-08
2000,2.312928897296729e-06,1.8425421188794644e-08
