year,children and women,women and children
1900,1.5572244638217825e-07,7.539033511250182e-06
1901,1.5559882831084338e-07,7.605322548442927e-06
1902,1.5655334036542476e-07,7.505161422708777e-06
1903,1.5259417627890214e-07,7.5038945612147605e-06
1904,1.527510528858451e-07,7.316545301299422e-06
1905,1.4733494151692686e-07,7.296187492654228e-06
1906,1.440827632442116e-07,7.16107659773765e-06
1907,1.3134836339214117e-07,7.2163678461428e-06
1908,1.2378334164025212e-07,7.032928443046721e-06
1909,1.1690493465340726e-07,7.147010281625756e-06
1910,1.1482053228841137e-07,7.185636661688477e-06
1911,1.192157885743228e-07,7.32725197646492e-06
1912,1.2182053350200712e-07,7.737614747530383e-06
1913,1.204960693921921e-07,7.983032968387046e-06
1914,1.2123692437272992e-07,8.138743157002995e-06
1915,1.2410026108332163e-07,8.6817327087374e-06
1916,1.2992725333711113e-07,8.929973316997219e-06
1917,1.338717208199114e-07,9.006246488395065e-06
1918,1.2639191889921415e-07,9.130531111622986e-06
1919,1.3110944970965273e-07,8.704003891222913e-06
1920,1.3650337477815506e-07,8.46384849190989e-06
1921,1.3601045705564324e-07,8.109820425618506e-06
1922,1.3767716465297652e-07,7.63852557789895e-06
1923,1.354787453968141e-07,7.234772774771565e-06
1924,1.2931054912560367e-07,7.022404355032969e-06
1925,1.285403935672288e-07,6.806334925256254e-06
1926,1.2178201061871112e-07,6.8065962486636115e-06
1927,1.1705916869164669e-07,6.801764935663154e-06
1928,1.2068017689920956e-07,6.848786434992299e-06
1929,1.1736132335801335e-07,6.747537264167087e-06
1930,1.155005695212858e-07,6.776695298883949e-06
1931,1.1753825563636561e-07,6.728663590495541e-06
1932,1.1299370543988679e-07,6.757089327688196e-06
1933,1.0961746198047605e-07,6.690218573420939e-06
1934,1.1684647985684851e-07,6.675808732227649e-06
1935,1.166419313358702e-07,6.692811151002129e-06
1936,1.190209229427554e-07,6.759669454530532e-06
1937,1.1998069247644493e-07,6.802106331146465e-06
1938,1.2058011229181581e-07,6.8969897414815155e-06
1939,1.2890019856255058e-07,6.888527541905529e-06
1940,1.2916408702918452e-07,6.953143926783208e-06
1941,1.2221219071660373e-07,6.9670741252382736e-06
1942,1.2143951241431035e-07,6.95737532449162e-06
1943,1.2391541215350799e-07,6.954989466123606e-06
1944,1.1800823442241282e-07,6.778149013492956e-06
1945,1.1732820502454087e-07,6.530407985800529e-06
1946,1.1358058220929072e-07,6.3245739840210395e-06
1947,1.155644044586219e-07,6.045547905841886e-06
1948,1.128291455820829e-07,5.829868066647187e-06
1949,1.0687613016813202e-07,5.5535841840180315e-06
1950,9.843296072675756e-08,5.275391237497777e-06
1951,9.988344160502141e-08,5.197801230443539e-06
1952,9.736661463596466e-08,5.09276767246547e-06
1953,9.534821991476403e-08,5.052762636483165e-06
1954,9.429844491767473e-08,5.030523414209905e-06
1955,9.728378276761619e-08,4.977040793465091e-06
1956,9.411195225509214e-08,4.986583205785727e-06
1957,9.543794328635359e-08,4.983898321597735e-06
1958,9.590779734677416e-08,4.895854553004548e-06
1959,9.554740436147822e-08,4.931306865582233e-06
1960,9.831344203023056e-08,4.9282719000335154e-06
1961,9.920367433080557e-08,4.887984374590815e-06
1962,9.775546078172326e-08,4.874802803962147e-06
1963,1.0273623413104005e-07,4.869433961321842e-06
1964,1.0473731023744445e-07,4.903776449793895e-06
1965,1.0444257927558606e-07,4.922559055233121e-06
1966,1.046007344312245e-07,4.99541270723317e-06
1967,1.0208076053500445e-07,4.989362372904387e-06
1968,1.0068011931295218e-07,5.045279410507776e-06
1969,1.007349793659605e-07,5.006017629633724e-06
1970,1.0095401730057598e-07,4.930953893327634e-06
1971,1.0045450937349162e-07,4.8386272979428205e-06
1972,1.0199033860712272e-07,4.784701933959111e-06
1973,1.0633383854779284e-07,4.642671654104496e-06
1974,1.0720744742350899e-07,4.561247989849042e-06
1975,1.0973013970080484e-07,4.446180009308266e-06
1976,1.1127677055593794e-07,4.397447085580097e-06
1977,1.1395251233884249e-07,4.337375187901671e-06
1978,1.1582713650902322e-07,4.294473776716196e-06
1979,1.1443654239297527e-07,4.20183645490267e-06
1980,1.1241339793149103e-07,4.13636600983734e-06
1981,1.1430602892786063e-07,4.096904057908951e-06
1982,1.166655682854107e-07,4.07141365802285e-06
1983,1.1942067211302897e-07,4.031363987776006e-06
1984,1.20313371487768e-07,4.077885675103841e-06
1985,1.2362938257253526e-07,4.099529917311884e-06
1986,1.310096221031541e-07,4.1534105475550736e-06
1987,1.3790801135980602e-07,4.206237660144194e-06
1988,1.4474545118048354e-07,4.2873634283426195e-06
1989,1.528318702703757e-07,4.356404888637501e-06
1990,1.652900401946259e-07,4.4749903297867745e-06
1991,1.73705379286864e-07,4.520839133143844e-06
1992,1.8526643273477005e-07,4.609118578611873e-06
1993,1.9233515446970273e-07,4.679370346951015e-06
1994,2.0158279191915896e-07,4.749042190610453e-06
1995,2.036988147047225e-07,4.781775509903647e-06
1996,2.0239103973703922e-07,4.8135122016544425e-06
1997,1.9804230763246065e-07,4.840906988030318e-06
1998,1.996982215146659e-07,4.868140341803458e-06
1999,1.951250002463212e-07,4.856178190948413e-06
2000,1.9279161755925145e-07,4.872059161442621e-06
