year,chips and fish,fish and chips
1900,0.0,0.0
1901,0.0,0.0
1902,0.0,0.0
1903,0.0,0.0
1904,0.0,2.0264210944174821e-10
1905,0.0,1.0091005015715788e-09
1906,0.0,1.454393193180335e-09
1907,0.0,1.9816097175860493e-09
1908,0.0,2.933310340656549e-09
1909,0.0,3.232720519846006e-09
1910,0.0,4.180402881002822e-09
1911,0.0,4.0855860440812205e-09
1912,0.0,3.3970586978325302e-09
1913,0.0,3.3163793616048616e-09
1914,0.0,8.584917094672003e-09
1915,2.748988972963876e-10,9.007710926362783e-09
1916,2.748988972963876e-10,9.965166089135178e-09
1917,2.748988972963876e-10,9.223226515864269e-09
1918,2.748988972963876e-10,1.075922409895672e-08
1919,2.748988972963876e-10,1.074237805852109e-08
1920,2.748988972963876e-10,1.1990727545794857e-08
1921,2.748988972963876e-10,6.8631499927640505e-09
1922,0.0,7.028745878973857e-09
1923,0.0,8.076978459075386e-09
1924,0.0,9.633419213133417e-09
1925,0.0,8.814191416422242e-09
1926,0.0,1.0818093706558128e-08
1927,0.0,1.3565816819089653e-08
1928,0.0,1.7483332702207732e-08
1929,0.0,2.053583860104981e-08
1930,1.871579462837352e-09,2.5093198582507422e-08
1931,1.871579462837352e-09,2.766987970494382e-08
1932,1.871579462837352e-09,3.1289857895165444e-08
1933,1.871579462837352e-09,3.4542712515747305e-08
1934,2.1034376621439523e-09,3.563069403808175e-08
1935,2.2166534798172067e-09,3.534720264898793e-08
1936,2.2166534798172067e-09,3.4414063146811665e-08
1937,3.450740169798548e-10,3.5788209784559655e-08
1938,6.086106063563079e-10,4.1727271741073424e-08
1939,7.452664358658418e-10,4.3978834137917544e-08
1940,7.452664358658418e-10,4.824949117227766e-08
1941,5.134082365592413e-10,5.054001748851432e-08
1942,4.0019241888598703e-10,5.240622851549708e-08
1943,4.0019241888598703e-10,5.753270894613495e-08
1944,5.032762381443742e-10,5.8676731909798215e-08
1945,2.397396487679211e-10,5.666641496514049e-08
1946,1.0308381925838717e-10,5.710867865113148e-08
1947,1.8995865198283875e-10,5.469079068985496e-08
1948,1.8995865198283875e-10,5.595036193081374e-08
1949,3.661318391325251e-10,5.630035782022702e-08
1950,3.661318391325251e-10,5.353242763358627e-08
1951,2.630480198741379e-10,5.53248679963885e-08
1952,3.4460053065034554e-10,5.4315431779234606e-08
1953,5.018030514923413e-10,5.42511457186328e-08
1954,4.880954529440373e-10,5.282074635618425e-08
1955,5.603879820499052e-10,5.162957470280663e-08
1956,3.842147949002188e-10,5.36926856071445e-08
1957,3.842147949002188e-10,5.6397451098089135e-08
1958,4.954752164110232e-10,5.4458997977846486e-08
1959,4.139227056348156e-10,5.576608568575686e-08
1960,3.5340691484364584e-10,5.662028415168559e-08
1961,2.8023968066749813e-10,6.03929995616045e-08
1962,2.079471515616303e-10,5.933737728947008e-08
1963,2.079471515616303e-10,5.982133265731398e-08
1964,2.079471515616303e-10,5.984622344515752e-08
1965,2.4066865167426954e-10,6.029439304975983e-08
1966,2.769063668837747e-10,5.995509331859137e-08
1967,1.802196368329488e-10,6.209503892026394e-08
1968,2.1541846481224321e-10,6.27497718706595e-08
1969,5.234350294472786e-10,6.742863799060116e-08
1970,5.93830409448667e-10,7.02599826889789e-08
1971,5.93830409448667e-10,7.260051144391307e-08
1972,4.4984848782522336e-10,7.475177461151767e-08
1973,4.809592644784897e-10,7.86148671240637e-08
1974,7.458419992723009e-10,8.232051180406025e-08
1975,7.106431712930064e-10,8.399078258288943e-08
1976,4.0262660665797105e-10,8.609378619541173e-08
1977,4.2516437989296007e-10,8.5534811519342e-08
1978,4.2516437989296007e-10,8.769069410290748e-08
1979,4.546831799956408e-10,9.218054284966725e-08
1980,3.873346881328692e-10,9.520252411806699e-08
1981,1.4935930865116783e-10,9.859551508561992e-08
1982,2.276333466959863e-10,1.0451188235473451e-07
1983,3.2625844684616313e-10,1.1085099888801559e-07
1984,4.73964992253606e-10,1.1758519497766834e-07
1985,7.508249875006915e-10,1.2561319578147894e-07
1986,8.958058085000481e-10,1.318433763434054e-07
1987,1.0169565170129298e-09,1.3670201529488883e-07
1988,1.072916351001802e-09,1.4087342321238744e-07
1989,1.0886667678455808e-09,1.4948119047326305e-07
1990,1.0281769205874473e-09,1.4871399540388503e-07
1991,8.587223987444048e-10,1.527093595703783e-07
1992,6.163845584732692e-10,1.5332433088234764e-07
1993,6.379142095510762e-10,1.5377102182055425e-07
1994,6.122168129594842e-10,1.5866693571707306e-07
1995,5.749098141993869e-10,1.5992649084393765e-07
1996,6.094933565784341e-10,1.586315656609827e-07
1997,6.862464802764074e-10,1.7521779290977486e-07
1998,7.175715207215679e-10,1.7867545295165618e-07
1999,8.127548078995517e-10,1.8376867814140496e-07
2000,6.728922835597118e-10,1.8945950408522094e-07
