year,chips and salsa,salsa and chips
1900,0.0,0.0
1901,0.0,0.0
1902,0.0,0.0
1903,0.0,0.0
1904,0.0,0.0
1905,0.0,0.0
1906,0.0,0.0
1907,0.0,0.0
1908,0.0,0.0
1909,0.0,0.0
1910,0.0,0.0
1911,0.0,0.0
1912,0.0,0.0
1913,0.0,0.0
1914,0.0,0.0
1915,0.0,0.0
1916,0.0,0.0
1917,0.0,0.0
1918,0.0,0.0
1919,0.0,0.0
1920,0.0,0.0
1921,0.0,0.0
1922,0.0,0.0
1923,0.0,0.0
1924,0.0,0.0
1925,0.0,0.0
1926,0.0,0.0
1927,0.0,0.0
1928,0.0,0.0
1929,0.0,0.0
1930,0.0,0.0
1931,0.0,0.0
1932,0.0,0.0
1933,0.0,0.0
1934,0.0,0.0
1935,0.0,0.0
1936,0.0,0.0
1937,0.0,0.0
1938,0.0,0.0
1939,0.0,0.0
1940,0.0,0.0
1941,0.0,0.0
1942,0.0,0.0
1943,0.0,0.0
1944,0.0,0.0
1945,0.0,0.0
1946,0.0,0.0
1947,0.0,0.0
1948,0.0,0.0
1949,0.0,0.0
1950,0.0,0.0
1951,0.0,0.0
1952,0.0,0.0
1953,0.0,0.0
1954,0.0,0.0
1955,0.0,0.0
1956,0.0,0.0
1957,0.0,0.0
1958,0.0,0.0
1959,0.0,0.0
1960,0.0,0.0
1961,0.0,0.0
1962,0.0,0.0
1963,0.0,0.0
1964,0.0,0.0
1965,0.0,0.0
1966,0.0,0.0
1967,0.0,0.0
1968,0.0,0.0
1969,0.0,0.0
1970,0.0,0.0
1971,0.0,0.0
1972,0.0,0.0
1973,0.0,0.0
1974,0.0,0.0
1975,0.0,0.0
1976,0.0,0.0
1977,3.097771642376504e-11,0.0
1978,6.184968608697566e-11,0.0
1979,2.6848128680574083e-10,0.0
1980,4.691971117187776e-10,0.0
1981,6.306412396263537e-10,0.0
1982,7.871893157159907e-10,0.0
1983,9.104706928862528e-10,2.465627503754421e-11
1984,1.2404525164980536e-09,7.278421318027536e-11
1985,1.532583853476004e-09,3.2657253488745294e-10
1986,1.7622013094774148e-09,3.4838498752520763e-10
1987,2.5104993679152847e-09,5.906864045509712e-10
1988,3.0327095239852345e-09,7.564207831529351e-10
1989,3.6847717377330724e-09,1.0572990261081825e-09
1990,4.724615599543165e-09,1.4521305309005734e-09
1991,6.374637335850229e-09,1.6887432900482479e-09
1992,7.795002875319947e-09,1.901004056551311e-09
1993,9.56408321785483e-09,2.4509436504148238e-09
1994,1.0905948717522736e-08,2.8290887767377727e-09
1995,1.298627934750599e-08,3.1948899676630712e-09
1996,1.4835567617642122e-08,3.508472179447608e-09
1997,1.641699789802141e-08,3.548537898047575e-09
1998,1.6807019391958573e-08,3.807763400883365e-09
1999,1.7727706885795058e-08,3.9168473575657005e-09
2000,1.830030715854747e-08,3.895493115579907e-09
