year,cons and pros,pros and cons
1900,3.812966331562251e-10,3.206290853652316e-07
1901,3.0503730652498005e-10,3.2011028254785857e-07
1902,2.541977554374834e-10,3.2670076096271333e-07
1903,2.1788379037498577e-10,3.2553195172813076e-07
1904,2.1788379037498577e-10,3.323378910402575e-07
1905,2.1788379037498577e-10,3.475501846079381e-07
1906,0.0,3.3408426467326387e-07
1907,0.0,3.3317508755871727e-07
1908,0.0,3.3797014954111457e-07
1909,0.0,3.3739105461037617e-07
1910,0.0,3.4232608894394344e-07
1911,0.0,3.4055044473291224e-07
1912,1.1793104588113986e-10,3.468202579729303e-07
1913,1.1793104588113986e-10,3.585210883093128e-07
1914,1.1793104588113986e-10,3.7122285601043354e-07
1915,1.1793104588113986e-10,3.743245994122394e-07
1916,1.1793104588113986e-10,3.7593595699928327e-07
1917,1.1793104588113986e-10,3.986397540321564e-07
1918,1.1793104588113986e-10,4.1871311849485587e-07
1919,0.0,4.2248765568559623e-07
1920,4.962962421980624e-10,4.324331651174772e-07
1921,4.962962421980624e-10,4.2403541316333407e-07
1922,4.962962421980624e-10,4.3680056987278295e-07
1923,6.318902385465159e-10,4.5205069091177765e-07
1924,9.843269374191064e-10,4.348290863883822e-07
1925,9.843269374191064e-10,4.3787249286759385e-07
1926,9.843269374191064e-10,4.4223858505379863e-07
1927,4.880306952210439e-10,4.505987505660463e-07
1928,8.500590707529097e-10,4.6487387885184107e-07
1929,9.85135433546296e-10,4.715844950098358e-07
1930,1.3174363029071807e-09,4.714559163383163e-07
1931,9.649996040345903e-10,4.878051784729109e-07
1932,1.0884599729469156e-09,4.989118905309097e-07
1933,1.2075231211764301e-09,5.153631643344576e-07
1934,1.4393813204830306e-09,5.27120874314692e-07
1935,1.0773529449511645e-09,5.284235374032014e-07
1936,1.1709926282600846e-09,5.47446871136868e-07
1937,7.030977625507465e-10,5.599786893866516e-07
1938,1.2301709413036527e-09,5.76521305171797e-07
1939,1.1067105723913277e-09,5.786887286188654e-07
1940,9.876474241618131e-10,5.863079763912538e-07
1941,7.557892248552126e-10,6.099684838175738e-07
1942,7.557892248552126e-10,6.493362177157585e-07
1943,6.458020626201996e-10,6.623443284947683e-07
1944,6.458020626201996e-10,6.824771540284555e-07
1945,4.071338663028509e-10,7.05374187377166e-07
1946,6.682948163115401e-10,7.21378797902921e-07
1947,6.682948163115401e-10,7.381757811358065e-07
1948,8.464881811371632e-10,7.301476321648031e-07
1949,8.464881811371632e-10,7.231691399045558e-07
1950,9.074012969583529e-10,7.312365346567874e-07
1951,9.074012969583529e-10,7.402772952096776e-07
1952,7.821013360752107e-10,7.394798459919066e-07
1953,7.567441752596795e-10,7.63553082919596e-07
1954,8.299114094358271e-10,7.730464643656326e-07
1955,6.517180446102039e-10,7.873408642516163e-07
1956,7.901296442521958e-10,7.984125521990189e-07
1957,6.104876445637128e-10,8.105542923837155e-07
1958,6.104876445637128e-10,8.321583207277733e-07
1959,4.4738262301129746e-10,8.355855358109311e-07
1960,2.115788338181395e-10,8.34261072224507e-07
1961,1.384115996419918e-10,8.449412659697738e-07
1962,2.249753320146145e-10,8.538122334858907e-07
1963,8.656373237262268e-11,8.686603859077633e-07
1964,8.656373237262268e-11,8.665495564283025e-07
1965,1.585546931843445e-10,8.583078990400038e-07
1966,1.585546931843445e-10,8.664165100924492e-07
1967,1.585546931843445e-10,8.759753886065725e-07
1968,2.2895234914293335e-10,8.782647845809573e-07
1969,2.792848730059916e-10,8.938017685977684e-07
1970,4.904710209403212e-10,9.076535785825155e-07
1971,7.023472993670866e-10,9.265688352450802e-07
1972,9.088045236995055e-10,9.551307895705463e-07
1973,9.088045236995055e-10,9.84015608297893e-07
1974,1.0743562388932609e-09,1.0260323162520585e-06
1975,1.003958582934672e-09,1.0570533949102616e-06
1976,1.0878942151888132e-09,1.0836725529626636e-06
1977,1.0006189329495439e-09,1.1146477701475175e-06
1978,9.431025028388313e-10,1.1439199383289633e-06
1979,7.236919179000522e-10,1.1704015240151679e-06
1980,8.383866795247386e-10,1.1884449475323731e-06
1981,8.342790981861826e-10,1.2038197070296521e-06
1982,9.1255313424846e-10,1.2336230003232425e-06
1983,8.889714420939094e-10,1.2543116970472771e-06
1984,9.575723289697737e-10,1.2570917579271932e-06
1985,9.647141339743014e-10,1.2644969637725417e-06
1986,9.711138916822038e-10,1.2674381173789179e-06
1987,9.977616233225461e-10,1.2884509730883205e-06
1988,1.064202256079965e-09,1.2927076090209409e-06
1989,1.2868064629729353e-09,1.291469430445399e-06
1990,1.3565030329168846e-09,1.2962577584017611e-06
1991,1.4665282837318066e-09,1.3216502947293357e-06
1992,1.6157260172646103e-09,1.3446620990009703e-06
1993,1.778989475572804e-09,1.3705773080273178e-06
1994,1.9080980327514295e-09,1.3974725250014736e-06
1995,2.0902549810067737e-09,1.4387413929435006e-06
1996,2.003723397520878e-09,1.4804210654822168e-06
1997,2.1580339935680014e-09,1.51414845436396e-06
1998,2.164746488545847e-09,1.5316844326207502e-06
1999,2.1627166446602786e-09,1.5558648364333293e-06
2000,2.303169377437797e-09,1.5834551621018988e-06
