year,cowboys and indians,indians and cowboys
1900,4.6344837273393225e-09,5.001425759654232e-09
1901,5.4151577999483896e-09,4.143438181447578e-09
1902,4.759307179839449e-09,3.94621651097123e-09
1903,6.226725952312201e-09,4.200497893958044e-09
1904,6.302023791704414e-09,3.6418461976265146e-09
1905,6.0488893893762e-09,4.094362888411902e-09
1906,6.5060884378377796e-09,5.543945477296372e-09
1907,6.75602596089675e-09,5.048402886208083e-09
1908,7.0167557320033325e-09,6.109951433685978e-09
1909,9.100797512421162e-09,6.285899197980679e-09
1910,8.322352220067688e-09,5.8890647596549735e-09
1911,1.019440711212484e-08,6.352886946662092e-09
1912,1.2250606132698951e-08,6.170331261807454e-09
1913,1.2099462114762666e-08,6.191798026681081e-09
1914,1.2645315707247664e-08,7.370311377081456e-09
1915,1.460112877430372e-08,8.13141405003088e-09
1916,1.3311142957725001e-08,9.040832051253136e-09
1917,1.2250882633743236e-08,9.23686825439672e-09
1918,1.1297308334855063e-08,1.0967006921650376e-08
1919,9.949537455827036e-09,1.196101976194289e-08
1920,1.0215439454659096e-08,1.0877324755195363e-08
1921,9.74061961248448e-09,9.46705761403369e-09
1922,6.689405918081093e-09,9.339537270542612e-09
1923,7.0398536524050675e-09,9.051644862217197e-09
1924,8.140986297787225e-09,1.125391001023855e-08
1925,7.792572301720417e-09,1.0202534008106414e-08
1926,9.134355113563482e-09,1.0240345627021696e-08
1927,1.0198031585861855e-08,1.0776843425589331e-08
1928,1.0068439423463867e-08,1.170337467413875e-08
1929,1.0493874983260757e-08,1.1662595421148479e-08
1930,1.1009514450892916e-08,1.1066109290818512e-08
1931,1.3531863923039415e-08,1.0009279571843166e-08
1932,1.6181142307011446e-08,1.0211995003585526e-08
1933,1.597164612470487e-08,8.949968972287487e-09
1934,1.541431051846739e-08,1.0583544152176216e-08
1935,1.7037944650371325e-08,1.1293991551499159e-08
1936,1.817157295271242e-08,9.99543089566909e-09
1937,2.0660548835252764e-08,1.0098330298952922e-08
1938,1.9232050103250893e-08,9.916886074228565e-09
1939,2.1964258404124796e-08,9.704850478797766e-09
1940,2.4635371306417194e-08,1.0874759537315981e-08
1941,2.86408681057385e-08,9.791407177114512e-09
1942,3.10536232125561e-08,9.912466752177401e-09
1943,3.433360749673296e-08,1.123596788626153e-08
1944,3.316865063559707e-08,1.2673968826807221e-08
1945,3.5279532834791335e-08,1.2054099202923091e-08
1946,3.2463360206363186e-08,1.319994604890137e-08
1947,3.0776604590229284e-08,1.2216594743755647e-08
1948,3.031570815809863e-08,1.2771898213629181e-08
1949,3.123861921519985e-08,1.2815118854980767e-08
1950,3.481700653974938e-08,1.3908457623707752e-08
1951,4.1591222616726194e-08,1.354857776763347e-08
1952,4.602907148289402e-08,1.3484305473797166e-08
1953,4.896687159718281e-08,1.1956208808719789e-08
1954,5.5790121443268145e-08,1.3296185049796857e-08
1955,5.9442202184266176e-08,1.2603715301587722e-08
1956,6.178845394063817e-08,1.0885990981661971e-08
1957,6.091578910342018e-08,9.353683986087648e-09
1958,6.029185010771242e-08,8.550147470983863e-09
1959,5.6611815362523585e-08,8.463982086632475e-09
1960,5.877754386382097e-08,8.269915990106419e-09
1961,5.6332670885149224e-08,7.269072911058367e-09
1962,5.4438080828881196e-08,6.342604707316417e-09
1963,5.449676112759657e-08,6.435057938894825e-09
1964,5.5080318353947384e-08,6.186550839076028e-09
1965,5.6569082513518206e-08,6.1570850085068685e-09
1966,6.119839796037141e-08,6.505779645163808e-09
1967,6.357347390581074e-08,6.00157322251858e-09
1968,6.754242075159209e-08,5.866133757319908e-09
1969,7.18428150858763e-08,6.270801104570265e-09
1970,7.439429135423583e-08,6.186674958045099e-09
1971,7.629819106672439e-08,5.7641585988437475e-09
1972,7.625341855562899e-08,5.349176998173784e-09
1973,7.786942381380969e-08,5.132449005478585e-09
1974,7.836857343227318e-08,5.003535847552294e-09
1975,7.932795337284304e-08,4.54151380787796e-09
1976,7.939643478386113e-08,4.784718339788187e-09
1977,8.091287331416348e-08,4.973460441101299e-09
1978,8.170214816400582e-08,5.074318160103175e-09
1979,8.038781565609744e-08,5.521061001236203e-09
1980,7.912140349841668e-08,5.266350653184863e-09
1981,7.859380221036145e-08,5.50860005229684e-09
1982,7.777025376267042e-08,5.585155829887104e-09
1983,7.710313429189406e-08,4.984995878389218e-09
1984,7.700155407146842e-08,4.664445649171789e-09
1985,7.779229511752283e-08,4.307936382619282e-09
1986,8.116429516179049e-08,3.958670746365531e-09
1987,8.397813644874955e-08,3.755105018599103e-09
1988,8.463468466137134e-08,3.6832082721062675e-09
1989,8.541645820806362e-08,3.6096442878370234e-09
1990,8.672593733636903e-08,3.557375901789125e-09
1991,8.839005173423763e-08,3.926064441804402e-09
1992,8.992547035188307e-08,3.976823537144014e-09
1993,9.068563467820986e-08,3.812523150356231e-09
1994,9.13454120141496e-08,3.7097335560596994e-09
1995,9.337607549278878e-08,3.6556687637341004e-09
1996,9.410166847927711e-08,4.286603817936298e-09
1997,9.588811260682498e-08,4.588761894273675e-09
1998,9.530111503887792e-08,4.502299449926639e-09
1999,9.541557950687451e-08,4.75029061641763e-09
2000,9.545600099941653e-08,5.080235204735217e-09
