year,day and night,night and day
1900,6.069055007884572e-06,3.3683903284398298e-06
1901,6.075730303223281e-06,3.30445735770013e-06
1902,5.9830855529223e-06,3.2771602575346983e-06
1903,6.064590520184408e-06,3.252773940991866e-06
1904,6.014449427636594e-06,3.2015553723039958e-06
1905,6.045154949317423e-06,3.1016513512481325e-06
1906,6.025742751246201e-06,3.084652994240449e-06
1907,5.99808433524426e-06,3.078201739218197e-06
1908,5.9732162611680906e-06,3.0846816037361743e-06
1909,5.982592720142423e-06,3.033131486164718e-06
1910,5.876636276777195e-06,2.9918011585599354e-06
1911,5.834597223903465e-06,2.9048848030502735e-06
1912,5.8000706023416825e-06,2.8878952506821472e-06
1913,5.834672098866836e-06,2.892215696143856e-06
1914,5.8844791774553026e-06,2.8614285305650355e-06
1915,5.998480393795294e-06,2.846196995420769e-06
1916,6.2198700072307086e-06,2.8879766753269517e-06
1917,6.272642988644099e-06,2.8791135129324626e-06
1918,6.314214421162692e-06,2.86470971490514e-06
1919,6.271768982506793e-06,2.8112574668170964e-06
1920,6.2377721192774516e-06,2.745667750048142e-06
1921,6.093950396746095e-06,2.697205701959352e-06
1922,5.904754905218722e-06,2.6266993908206715e-06
1923,5.647610972151337e-06,2.540075213529137e-06
1924,5.544857781306486e-06,2.493169501199028e-06
1925,5.450661259739523e-06,2.502559428003386e-06
1926,5.4630916922958154e-06,2.5087256300285584e-06
1927,5.394951751368028e-06,2.455654900249523e-06
1928,5.438097114206033e-06,2.397078806686587e-06
1929,5.423621653376033e-06,2.339458414419531e-06
1930,5.405400677156129e-06,2.3198584518776703e-06
1931,5.397017000672935e-06,2.2905932937078433e-06
1932,5.424850373612701e-06,2.2550412006288364e-06
1933,5.391150310174453e-06,2.2241737802630723e-06
1934,5.377369283061333e-06,2.213108668769337e-06
1935,5.319736130461804e-06,2.189281550966728e-06
1936,5.285469424417702e-06,2.1709192239427466e-06
1937,5.331140470283506e-06,2.096003254641638e-06
1938,5.313602794590874e-06,2.0593864112429723e-06
1939,5.34111997804335e-06,2.0546808094934477e-06
1940,5.455909699898192e-06,2.0487404255626577e-06
1941,5.601048331170335e-06,2.065754906307607e-06
1942,5.7067826436504484e-06,2.0730544681514725e-06
1943,5.80185326271021e-06,2.1104814525837616e-06
1944,5.773709552110111e-06,2.1269271357482467e-06
1945,5.734772752167113e-06,2.1206904534665227e-06
1946,5.624072192590899e-06,2.0577362168491424e-06
1947,5.39179270881667e-06,2.0050097232017705e-06
1948,5.140959593014876e-06,1.9147909020895374e-06
1949,4.941867392257596e-06,1.8546244890314613e-06
1950,4.7754766865994365e-06,1.7853508781838303e-06
1951,4.690224995686419e-06,1.781450227968305e-06
1952,4.634955875612183e-06,1.7517908647489222e-06
1953,4.62343950248721e-06,1.7495974345495467e-06
1954,4.6027622592045455e-06,1.7110347617485137e-06
1955,4.569003525237544e-06,1.6964953510572352e-06
1956,4.546671187353825e-06,1.6872923863177547e-06
1957,4.512506748710621e-06,1.6600887237570665e-06
1958,4.468515574071067e-06,1.6245459042758218e-06
1959,4.393826704886448e-06,1.5974243530487392e-06
1960,4.33931259737262e-06,1.574973805215255e-06
1961,4.265875843551775e-06,1.5598632531675451e-06
1962,4.193052966172672e-06,1.5473025091036365e-06
1963,4.143325790144964e-06,1.5278709243813995e-06
1964,4.0802610915388215e-06,1.5202054573900827e-06
1965,4.008257422226182e-06,1.4996550642568503e-06
1966,3.979498765309992e-06,1.487958312752978e-06
1967,3.923974976568649e-06,1.4721031992134418e-06
1968,3.892036516057422e-06,1.462087936943135e-06
1969,3.854856022452883e-06,1.4529121991862278e-06
1970,3.778470846173475e-06,1.4265654937974302e-06
1971,3.7435339734770427e-06,1.3966158454487802e-06
1972,3.677162983503227e-06,1.3630500035333173e-06
1973,3.621785116893404e-06,1.3256404238453408e-06
1974,3.549592098092294e-06,1.2951096611654324e-06
1975,3.519036294871317e-06,1.2701882684699025e-06
1976,3.4743056452108637e-06,1.2342200308117818e-06
1977,3.443201725263277e-06,1.2276945494501694e-06
1978,3.393927376090947e-06,1.214913929966802e-06
1979,3.3377399587055024e-06,1.1890082280022594e-06
1980,3.292452854606966e-06,1.1856664328442027e-06
1981,3.2238467428312234e-06,1.1534134835804771e-06
1982,3.155074632031431e-06,1.1489600098002482e-06
1983,3.1255217558217344e-06,1.1425165636426624e-06
1984,3.0851718934497645e-06,1.1351658031344414e-06
1985,3.0409561730948553e-06,1.1233071712167333e-06
1986,3.030674114208003e-06,1.1441162420006938e-06
1987,3.0044819762256987e-06,1.1342604742432222e-06
1988,3.021288056816372e-06,1.1339068609775692e-06
1989,3.024456507968612e-06,1.1301488512011865e-06
1990,3.013876088634301e-06,1.1273773823055372e-06
1991,2.994268667931367e-06,1.1198436844495063e-06
1992,2.9918084949136817e-06,1.119313525675482e-06
1993,2.981728974203536e-06,1.0962613476043056e-06
1994,2.9790673679030988e-06,1.095991693083371e-06
1995,2.947379148362675e-06,1.0915009290053085e-06
1996,2.9492978675144902e-06,1.0855868052114405e-06
1997,2.970648309944376e-06,1.0834439534741186e-06
1998,2.983260261046894e-06,1.0762848419905897e-06
1999,2.9869632136581004e-06,1.069702437206388e-06
2000,3.0034051077265644e-06,1.0702627681880017e-06
