year,fire and ice,ice and fire
1900,9.093621355926729e-09,1.0655181556518123e-08
1901,9.409360712808734e-09,9.235633091631e-09
1902,9.197850185197845e-09,9.916442065642054e-09
1903,9.82668473576658e-09,1.0544873950215004e-08
1904,1.0302062131944162e-08,8.707913874100065e-09
1905,1.1449925967672264e-08,7.79841587337872e-09
1906,1.2376230373867257e-08,8.066306424390846e-09
1907,1.265046487405489e-08,8.451194981924052e-09
1908,1.1654570586383528e-08,9.317668057752724e-09
1909,1.2986755710502657e-08,9.311005863147213e-09
1910,1.3044605308630354e-08,8.529515879310675e-09
1911,1.54883078108879e-08,9.424639124677725e-09
1912,1.532481103921108e-08,1.0638197077218947e-08
1913,1.4344369406568293e-08,1.0609628453561726e-08
1914,1.3745648222826138e-08,1.0626597768403911e-08
1915,1.637826298393565e-08,1.048896409410511e-08
1916,1.5140043552186455e-08,1.110643026753471e-08
1917,1.6534136774001444e-08,1.2003153153956297e-08
1918,1.4384893704771125e-08,1.2362663416785683e-08
1919,1.4755559187205693e-08,1.2868105922095704e-08
1920,1.950334497077425e-08,1.3040369125797265e-08
1921,2.1179581009635384e-08,1.3143492794132072e-08
1922,2.2125151234929167e-08,1.3703219789043937e-08
1923,2.235981990038129e-08,1.3630181071113055e-08
1924,2.1667078686782307e-08,1.35845018488036e-08
1925,2.3674267133978943e-08,1.3943650369250904e-08
1926,2.685312406563207e-08,1.4375668195525698e-08
1927,2.6033582107525584e-08,1.3845020249306624e-08
1928,2.5200978692740964e-08,1.5430812191511275e-08
1929,2.676727841758161e-08,1.4849727423906143e-08
1930,2.7615218738714324e-08,1.615219432014671e-08
1931,2.9930016346276945e-08,1.6342596125579993e-08
1932,2.8489202830161986e-08,1.5086431397787995e-08
1933,2.7574919181372337e-08,1.6781945476131355e-08
1934,2.600827346345623e-08,1.5526686817210082e-08
1935,2.5836686607621266e-08,1.4343617777650458e-08
1936,2.313678795376869e-08,1.5758165018896012e-08
1937,2.2493085148424437e-08,1.3226271530378649e-08
1938,1.997987036927995e-08,1.2502469147270188e-08
1939,2.4290672639981636e-08,1.3551428257319031e-08
1940,2.4016273747484718e-08,1.2070881016956747e-08
1941,2.3416608969333604e-08,1.401366784519504e-08
1942,2.7289478153415458e-08,1.5317647816814883e-08
1943,2.9896427032406944e-08,1.5180719982664315e-08
1944,3.304559491125657e-08,1.4587957508638283e-08
1945,3.352218223641655e-08,1.3968087908544646e-08
1946,3.315566213643198e-08,1.388303289789101e-08
1947,3.1750032603028444e-08,1.2618555652757887e-08
1948,3.535764931632863e-08,1.2296707945542401e-08
1949,3.2051933488272e-08,1.0137528515054482e-08
1950,3.078308382801051e-08,9.350820887440595e-09
1951,3.109494525358311e-08,1.2857758421461592e-08
1952,3.6188458658286445e-08,1.344590612660314e-08
1953,3.317705718089822e-08,1.2954000911629443e-08
1954,3.408283947134042e-08,1.3187390401903087e-08
1955,3.241065273305667e-08,1.253360483653511e-08
1956,3.297664864985807e-08,1.3577937797913464e-08
1957,3.3972102218639474e-08,1.3030308594024526e-08
1958,3.499025486020102e-08,9.906211953910774e-09
1959,3.609000188380713e-08,9.522400693359349e-09
1960,4.1641844084061574e-08,9.588136804358373e-09
1961,4.402728673699333e-08,1.0147419959860569e-08
1962,4.4160165635354076e-08,9.999557186248152e-09
1963,4.582113027102557e-08,9.121545364270441e-09
1964,4.504430857675348e-08,9.758970619706225e-09
1965,4.297283972316228e-08,1.03774234721283e-08
1966,3.9198813980448725e-08,1.073372105087067e-08
1967,3.496879138634565e-08,1.0415499478761651e-08
1968,3.4280747907011744e-08,9.903651617047615e-09
1969,3.56811033259368e-08,1.0134213460474432e-08
1970,3.6055446604534215e-08,1.11111705986782e-08
1971,3.872920014057004e-08,1.1786665433349036e-08
1972,4.15869201852992e-08,1.2081200076056016e-08
1973,4.5616289293512076e-08,1.1939860136303944e-08
1974,5.519323581504309e-08,1.3902275719512858e-08
1975,5.66590099837505e-08,1.3921685399725144e-08
1976,5.7072778828334436e-08,1.3438154745716776e-08
1977,6.068660596270092e-08,1.3908665895599551e-08
1978,6.089208551670769e-08,1.4060893354412535e-08
1979,6.343593474321197e-08,1.3150201269177381e-08
1980,6.341211643081023e-08,1.4092126124750796e-08
1981,5.888814114118901e-08,1.319856294693508e-08
1982,6.231029119658465e-08,1.3525965524206563e-08
1983,6.524431872545478e-08,1.3743445508624623e-08
1984,6.68071764417125e-08,1.3486295393930601e-08
1985,7.171817305108772e-08,1.280019792739205e-08
1986,7.237772229170705e-08,1.4326803229880447e-08
1987,7.415900052773088e-08,1.432628950589646e-08
1988,7.591801565176581e-08,1.3934628847625927e-08
1989,7.685913572252902e-08,1.495623701473571e-08
1990,7.606295504558604e-08,1.6108192870837153e-08
1991,7.653906987568705e-08,1.7498446921607576e-08
1992,7.340169361214066e-08,1.7925194614346448e-08
1993,7.491716827853372e-08,1.813935995853555e-08
1994,7.532849683704919e-08,1.7615008808734093e-08
1995,7.511458344211519e-08,1.7828356059314462e-08
1996,7.39217694040966e-08,1.6733659426369585e-08
1997,7.455485332271852e-08,1.6489452257993442e-08
1998,7.36512379417853e-08,1.5313611510803238e-08
1999,7.5525435083712e-08,1.5065659195179216e-08
2000,7.396665771541855e-08,1.402935675617889e-08
