year,found and lost,lost and found
1900,1.544468697378676e-08,7.945523161634327e-08
1901,1.577089119297881e-08,7.252893259312998e-08
1902,1.56091661078032e-08,7.006112834329059e-08
1903,1.685589831204989e-08,7.068674138085587e-08
1904,1.6585595801516765e-08,7.237729325394935e-08
1905,1.6108006563518374e-08,7.338588367148244e-08
1906,1.43816052876135e-08,7.222621997308005e-08
1907,1.2706221765222481e-08,6.468242706527049e-08
1908,1.1641513626108642e-08,7.117986719088316e-08
1909,1.1423415229622995e-08,7.411183233774209e-08
1910,1.0158060947951242e-08,7.54814633495217e-08
1911,1.022960728030193e-08,7.540962912841057e-08
1912,9.643822462823692e-09,7.570876641478056e-08
1913,1.1173778212216134e-08,7.682822350529861e-08
1914,1.2700892488520005e-08,8.036680775631258e-08
1915,1.2288359932785144e-08,7.997387656079522e-08
1916,1.2780139470512455e-08,8.689475719128989e-08
1917,1.3140665555688713e-08,8.641237670652708e-08
1918,1.2893914967472751e-08,9.204889738529635e-08
1919,1.3685757765153589e-08,9.551961974560033e-08
1920,1.236913230570228e-08,1.028833093560547e-07
1921,1.120851457679452e-08,1.1112482244708082e-07
1922,1.2684844746020069e-08,1.172263472880099e-07
1923,1.1923928653980098e-08,1.2150049554555358e-07
1924,1.0761890505734632e-08,1.2783569223026196e-07
1925,1.1707351929172003e-08,1.3283616813662492e-07
1926,1.2318801946774118e-08,1.390821554354232e-07
1927,1.3621307415334627e-08,1.4159873548294908e-07
1928,1.393554202192401e-08,1.4783003679915856e-07
1929,1.392844027416272e-08,1.4569992874096422e-07
1930,1.4640786598946981e-08,1.3767569541554637e-07
1931,1.4586935151835893e-08,1.3622523506054813e-07
1932,1.406021042450943e-08,1.332934969067168e-07
1933,1.3141094934443487e-08,1.2665978324103273e-07
1934,1.1657500655269461e-08,1.25799596898243e-07
1935,1.1983538835850079e-08,1.2026554219168872e-07
1936,1.0810102503620656e-08,1.1968199126981866e-07
1937,1.0529779373832528e-08,1.333134457112298e-07
1938,1.0623335314604734e-08,1.4023010099149603e-07
1939,1.0905141163102579e-08,1.6910422655820006e-07
1940,1.3125896116049165e-08,1.7820458431921133e-07
1941,1.4425081573676836e-08,1.8631538610337982e-07
1942,1.3898073105065935e-08,1.8358488707015397e-07
1943,1.5964543655298613e-08,1.8929777792894444e-07
1944,1.6791739332333577e-08,1.7812020997043376e-07
1945,1.6976583091679994e-08,1.7114017164532314e-07
1946,1.8209483587661168e-08,1.460184848193055e-07
1947,1.6329655778373516e-08,1.386477068947884e-07
1948,1.707006046831288e-08,1.3532401487476825e-07
1949,1.821448089974912e-08,1.3282763462939077e-07
1950,1.686613406873657e-08,1.2325499204601797e-07
1951,1.5956560858335474e-08,1.1943027792124132e-07
1952,1.627952613190788e-08,1.2168130068625415e-07
1953,1.6472204846161376e-08,1.1270453614820043e-07
1954,1.6870265565468604e-08,1.1422024361250139e-07
1955,1.604336257494359e-08,1.0699464743556066e-07
1956,1.3878887943669886e-08,1.0168332686173137e-07
1957,1.4098768692199265e-08,1.0800783433501896e-07
1958,1.3902161735293968e-08,1.0960500153906721e-07
1959,1.3617408117783116e-08,1.0515131204250469e-07
1960,1.2485693605996624e-08,1.0907202401980573e-07
1961,1.2191630284684255e-08,1.0520778161755246e-07
1962,1.2418096582779625e-08,1.0120874780710537e-07
1963,1.3029861467561688e-08,9.920024617225488e-08
1964,1.2317897265682172e-08,9.474226062011759e-08
1965,1.2409495601741125e-08,9.287354954931207e-08
1966,1.2114022122723865e-08,8.949586844624641e-08
1967,1.192824888069615e-08,8.35045443744623e-08
1968,1.1159196891937943e-08,8.051463334141877e-08
1969,1.0585518834498638e-08,8.524295694708631e-08
1970,1.0903168796388181e-08,8.641916890031861e-08
1971,1.1326076727285235e-08,8.607671466074962e-08
1972,1.1159806816747013e-08,8.565683649676612e-08
1973,1.1432811681493554e-08,9.109154717825061e-08
1974,1.1870132878606071e-08,9.296116275964955e-08
1975,1.2324314840487079e-08,9.444305311610635e-08
1976,1.2130064211016541e-08,9.31808190765945e-08
1977,1.1981021036389095e-08,9.903144902535998e-08
1978,1.1926452793607569e-08,1.0050601687413721e-07
1979,1.2110160866171276e-08,1.0525183813392404e-07
1980,1.2209217977890827e-08,1.0800783464429539e-07
1981,1.1880542950220324e-08,1.1211265581773893e-07
1982,1.286728904774976e-08,1.1776104938013684e-07
1983,1.3381718931361673e-08,1.2109823285414277e-07
1984,1.3912570849340864e-08,1.2523211694632457e-07
1985,1.4621207486805891e-08,1.3186176108158166e-07
1986,1.428068842544507e-08,1.4139698125058074e-07
1987,1.420751135786499e-08,1.465324713155271e-07
1988,1.483691952432396e-08,1.5460672859417863e-07
1989,1.60397680752457e-08,1.6185208149911897e-07
1990,1.633072485177475e-08,1.6772632394079778e-07
1991,1.6858475803841318e-08,1.7133244236054524e-07
1992,1.738725382917559e-08,1.7436875036715348e-07
1993,1.845229333021146e-08,1.7353002487333464e-07
1994,1.978315456095471e-08,1.742749954347644e-07
1995,2.0607846165643373e-08,1.7825576031122686e-07
1996,1.9722139699140943e-08,1.8467224790644616e-07
1997,2.116151412434597e-08,1.920531061960773e-07
1998,2.157408164847145e-08,1.9399808491119924e-07
1999,2.156327194857699e-08,1.9821685955934143e-07
2000,2.238007355478966e-08,2.0274560047495171e-07
