year,gentlemen and ladies,ladies and gentlemen
1900,4.848020132008912e-07,2.0004262688555485e-06
1901,4.722240696253266e-07,1.9906632630295463e-06
1902,4.5469562781619283e-07,1.9418230567206747e-06
1903,4.401499968307933e-07,1.9337550165587913e-06
1904,4.2891077546767876e-07,1.8893013467025097e-06
1905,4.060423021304667e-07,1.8902419943892364e-06
1906,3.7877231611511366e-07,1.8862469327109364e-06
1907,3.5663384753295955e-07,1.8924063135258453e-06
1908,3.435227185885229e-07,1.8829359980733682e-06
1909,3.324051220943147e-07,1.868269713632488e-06
1910,3.1095119660104083e-07,1.8373292194023046e-06
1911,2.859315508173056e-07,1.8121928076248696e-06
1912,2.7963933264223737e-07,1.7211577095618428e-06
1913,2.5219996656135534e-07,1.6793734078289293e-06
1914,2.3440781722022003e-07,1.6572866017940311e-06
1915,2.107496161077701e-07,1.604987994190716e-06
1916,1.9532243530509928e-07,1.6017386839095593e-06
1917,1.969182782549491e-07,1.5968619920338412e-06
1918,1.883773556191467e-07,1.5394057903326898e-06
1919,1.8911906466253674e-07,1.5586480447733157e-06
1920,2.0185892614575452e-07,1.5759931763265859e-06
1921,2.0819855528486642e-07,1.5917286155639078e-06
1922,2.229402767157345e-07,1.6204686741508719e-06
1923,2.3094735006929617e-07,1.6124104390558005e-06
1924,2.420995548162758e-07,1.6408703237269508e-06
1925,2.539561591495345e-07,1.6934324427017193e-06
1926,2.6554824694713375e-07,1.7713186541661635e-06
1927,2.636367291459456e-07,1.8364490032800923e-06
1928,2.6584839529775195e-07,1.857011083191854e-06
1929,2.609666808999529e-07,1.8978703868149133e-06
1930,2.707383703892674e-07,1.945375451078186e-06
1931,2.714728817616268e-07,1.9355940091360575e-06
1932,2.7304774441461177e-07,1.97775512059525e-06
1933,2.535367512760242e-07,1.9310701292304548e-06
1934,2.502775965521461e-07,1.8755533548147393e-06
1935,2.42161054320178e-07,1.8579535957043345e-06
1936,2.4550611803826025e-07,1.792146895678621e-06
1937,2.248499716575988e-07,1.7762865076280983e-06
1938,2.0691935289006228e-07,1.7470419455545285e-06
1939,1.9323619276130038e-07,1.6724049429127165e-06
1940,1.8674448305182928e-07,1.6177739568285737e-06
1941,1.7383222359969504e-07,1.5861312231889104e-06
1942,1.6518327639047925e-07,1.5098954028656768e-06
1943,1.522201282482578e-07,1.5088372255738541e-06
1944,1.4673033613529387e-07,1.4707337733708772e-06
1945,1.4202524318512086e-07,1.4736990651290479e-06
1946,1.400348431498547e-07,1.473692208011e-06
1947,1.3769793648167802e-07,1.486208343694427e-06
1948,1.388053479140743e-07,1.449173584181348e-06
1949,1.3749801893884035e-07,1.418377163973718e-06
1950,1.3135715689774736e-07,1.388850870436593e-06
1951,1.3179576319188868e-07,1.3553005257754033e-06
1952,1.3923049284920402e-07,1.3075755196061728e-06
1953,1.313516167579719e-07,1.3265515402974666e-06
1954,1.3543298679355838e-07,1.3235459379273046e-06
1955,1.3564809859494581e-07,1.301898282830243e-06
1956,1.310538909139934e-07,1.2851443112233644e-06
1957,1.2631963976415606e-07,1.3094958336726644e-06
1958,1.2432265375902522e-07,1.304636179850454e-06
1959,1.1685010273662247e-07,1.3005366815857909e-06
1960,1.2417884860076761e-07,1.2380730619757481e-06
1961,1.1831280374455641e-07,1.2304329966334698e-06
1962,1.2040948901440425e-07,1.2296950741484482e-06
1963,1.2463377583950474e-07,1.2383116896330646e-06
1964,1.3074241648044653e-07,1.1868788336905872e-06
1965,1.3892951332218827e-07,1.2108394400150196e-06
1966,1.434790327500427e-07,1.2370325593075952e-06
1967,1.4799367404576863e-07,1.2671484832844319e-06
1968,1.5021847883061363e-07,1.2586066519152235e-06
1969,1.4864386077562128e-07,1.2690737438703081e-06
1970,1.4531483984368621e-07,1.2722643701731532e-06
1971,1.3911873697480817e-07,1.2728145659985607e-06
1972,1.2575563733209704e-07,1.2532627995704665e-06
1973,1.1285569923025207e-07,1.2302718480786517e-06
1974,1.0000025540968238e-07,1.2080079595680869e-06
1975,9.306115906453677e-08,1.1816127344513712e-06
1976,8.641847507436953e-08,1.1575691329923643e-06
1977,7.965320355677159e-08,1.1722288012653133e-06
1978,7.622420837373665e-08,1.1810316335062306e-06
1979,7.558880845058371e-08,1.1735298284243358e-06
1980,7.650292596242788e-08,1.1671014488813723e-06
1981,7.343580607103003e-08,1.1508474972998783e-06
1982,7.251838802473693e-08,1.1452375807051242e-06
1983,6.95850404598884e-08,1.1585101893046053e-06
1984,7.016818897349301e-08,1.1377072439065574e-06
1985,6.932742646625911e-08,1.1399856156835142e-06
1986,6.7570753183231e-08,1.136720332084451e-06
1987,6.398410962964768e-08,1.131042801448347e-06
1988,6.375431240078302e-08,1.149243408057491e-06
1989,6.286948104973686e-08,1.1606262122170515e-06
1990,6.312431361748289e-08,1.167057501876607e-06
1991,6.174591225617731e-08,1.1623550139537388e-06
1992,6.208740036380992e-08,1.1404281760845388e-06
1993,6.417717278241396e-08,1.128471831598635e-06
1994,6.364311439759668e-08,1.1147354263789973e-06
1995,6.310963006152447e-08,1.0829228741674309e-06
1996,6.26623604750774e-08,1.0714967872971217e-06
1997,6.257929637979284e-08,1.0621602336082146e-06
1998,6.302249181781387e-08,1.0601947742679603e-06
1999,6.323008454600653e-08,1.0582239856837815e-06
2000,6.06843644224142e-08,1.0543995715428522e-06
