year,head and shoulders,shoulders and head
1900,1.0761621165727986e-06,2.6032026756439564e-08
1901,1.0688264424074667e-06,2.8225095505263197e-08
1902,1.0420242296342124e-06,3.129119689286123e-08
1903,1.0321258916185755e-06,3.1217918662816505e-08
1904,1.0183728880413286e-06,3.228283646754855e-08
1905,1.002301284937422e-06,3.315249357578003e-08
1906,1.0049927378075196e-06,3.656362730047087e-08
1907,9.97791442152491e-07,3.624641919941496e-08
1908,9.93106303510365e-07,3.550809475021717e-08
1909,1.0086040794856009e-06,3.383802089323191e-08
1910,9.973683346114243e-07,3.523252039323259e-08
1911,1.015333688768129e-06,3.560701854001179e-08
1912,9.975250966274909e-07,3.460862123867108e-08
1913,1.0027775731922896e-06,3.6436876119491246e-08
1914,9.99620409598239e-07,3.8181547828181854e-08
1915,1.0135998406871468e-06,3.913251132660532e-08
1916,1.0106630562921126e-06,4.0678041252866544e-08
1917,1.0188296466325954e-06,4.04417040808117e-08
1918,1.0093726352363878e-06,3.990518391918028e-08
1919,1.0269629464757353e-06,4.0814992782348524e-08
1920,1.0083926293980028e-06,3.5657347043281466e-08
1921,1.0091084225846307e-06,3.3521308903264723e-08
1922,1.007122261444314e-06,3.13601936799809e-08
1923,1.0047781006423356e-06,2.94346898601004e-08
1924,9.971719501233878e-07,2.7404001861392705e-08
1925,9.89754787556712e-07,3.154001174518076e-08
1926,9.958982804615855e-07,2.956872714930471e-08
1927,9.976993865829745e-07,3.069416822297301e-08
1928,9.876071583869719e-07,3.210257405937357e-08
1929,9.686337047850759e-07,3.768075121765183e-08
1930,9.509772361804281e-07,4.008897848604777e-08
1931,9.350939912706429e-07,4.103906547925362e-08
1932,9.338329680482919e-07,3.6738185826834524e-08
1933,9.119954539655545e-07,3.926238229772545e-08
1934,9.012530754867346e-07,4.0003750915015446e-08
1935,8.855411317406795e-07,3.7509476667553695e-08
1936,8.76561043385214e-07,3.236825182487532e-08
1937,8.683857093246975e-07,2.99526374496801e-08
1938,8.62714310719984e-07,2.903592744019079e-08
1939,8.538432767808095e-07,3.258807065468058e-08
1940,8.623421569201437e-07,3.208071827235212e-08
1941,8.603062028164236e-07,3.1788850155375515e-08
1942,8.501225542253568e-07,3.289570140095423e-08
1943,8.480041752293284e-07,3.339612649913956e-08
1944,8.606960805972769e-07,3.54937664021853e-08
1945,8.677875950205813e-07,3.5300747214250805e-08
1946,8.47600557455205e-07,3.453741013816268e-08
1947,8.32235141594901e-07,3.4387852057956736e-08
1948,8.148309269222815e-07,3.329406820081918e-08
1949,8.157568647249036e-07,3.2565766971970334e-08
1950,7.928680243383747e-07,3.107597810826844e-08
1951,7.830483558314758e-07,2.8672863702386816e-08
1952,7.795650708059782e-07,2.8978001712484262e-08
1953,7.804111397034598e-07,2.5741778232811286e-08
1954,7.625736509475622e-07,2.4544227729604373e-08
1955,7.477602372772477e-07,2.512291479612421e-08
1956,7.351312320705691e-07,2.5563062523912905e-08
1957,7.217708509556418e-07,2.6743507979582707e-08
1958,6.90968619904142e-07,2.5672726167158544e-08
1959,6.779375458430627e-07,2.5094466441341216e-08
1960,6.606493076686893e-07,2.5050304433956886e-08
1961,6.48360422378369e-07,2.468226029910576e-08
1962,6.459917008419922e-07,2.4470756849430993e-08
1963,6.347258458629299e-07,2.3603321202309805e-08
1964,6.381069933875899e-07,2.256732984611582e-08
1965,6.449841129598152e-07,2.3768221676537645e-08
1966,6.330869321954528e-07,2.3249496296427552e-08
1967,6.338221463707073e-07,2.3095093837355307e-08
1968,6.242569421388566e-07,2.3625636811987405e-08
1969,6.126873951676056e-07,2.2849702320724774e-08
1970,6.038346499640365e-07,2.2833416681221153e-08
1971,5.927530751951135e-07,2.322390660732968e-08
1972,5.817425517180246e-07,2.304279738447284e-08
1973,5.739157260542526e-07,2.292813964085586e-08
1974,5.630159843735986e-07,2.3653870227592832e-08
1975,5.63351337959769e-07,2.394455326079229e-08
1976,5.584487275786135e-07,2.4844142235532933e-08
1977,5.58488110424804e-07,2.600335261401402e-08
1978,5.606138837599417e-07,2.6172490206834353e-08
1979,5.555020777338524e-07,2.6590125910632067e-08
1980,5.610703107196611e-07,2.737203276735402e-08
1981,5.639030172334612e-07,2.8308336246547176e-08
1982,5.639836111776779e-07,2.880530455432303e-08
1983,5.664559398052152e-07,2.8452969250533248e-08
1984,5.640935841607789e-07,2.8031870412194493e-08
1985,5.653872325238143e-07,2.8327091022057564e-08
1986,5.711740590338569e-07,2.7480299686593364e-08
1987,5.651327879314343e-07,2.7894885893228353e-08
1988,5.579480515700246e-07,2.661485127524494e-08
1989,5.567381102165671e-07,2.618546344836302e-08
1990,5.565084237245189e-07,2.6753898144501624e-08
1991,5.529248707146296e-07,2.6832390024164202e-08
1992,5.489345803308003e-07,2.6690724043630454e-08
1993,5.443394302925445e-07,2.6516422327712722e-08
1994,5.490623048284452e-07,2.7029837162168794e-08
1995,5.461361237532206e-07,2.758215218128563e-08
1996,5.503666458445926e-07,2.7859177314277465e-08
1997,5.54130316997105e-07,2.734217550783212e-08
1998,5.588059936260474e-07,2.7456063200759218e-08
1999,5.568684731116491e-07,2.7848353667536686e-08
2000,5.593796741365509e-07,2.8435406473903413e-08
