year,heart and soul,soul and heart
1900,1.7624578845243377e-06,5.10069216308473e-08
1901,1.741377354846918e-06,5.389691346557868e-08
1902,1.7138573866759543e-06,5.367108139401703e-08
1903,1.7061460734372043e-06,5.2547996604828436e-08
1904,1.6944679178517878e-06,5.157574544429571e-08
1905,1.6991135355835598e-06,5.285447120449506e-08
1906,1.6745046390756864e-06,5.58846065217595e-08
1907,1.6616191779965966e-06,5.366854125396107e-08
1908,1.6685323609116104e-06,5.2036907758980436e-08
1909,1.641362652143081e-06,5.111794321166485e-08
1910,1.5983014886192644e-06,5.0891613098283776e-08
1911,1.56039675403008e-06,5.281743646414126e-08
1912,1.5162890057191753e-06,5.319058120147244e-08
1913,1.5045730411397277e-06,4.95414957866837e-08
1914,1.5019395829897673e-06,4.7247050851049825e-08
1915,1.4949921803365993e-06,4.7774668419732694e-08
1916,1.5297537012364565e-06,4.9231582334639615e-08
1917,1.5729108489332638e-06,5.052618279322019e-08
1918,1.5646499572799906e-06,4.869110314942304e-08
1919,1.5405100514596728e-06,4.78319724939169e-08
1920,1.5162924975291908e-06,4.8941233954380436e-08
1921,1.460182033952151e-06,4.6689181584394894e-08
1922,1.3984226663004456e-06,4.383253098578471e-08
1923,1.3497878593885356e-06,3.9449630704981234e-08
1924,1.2936014042809672e-06,3.794605044468317e-08
1925,1.2620947050631263e-06,3.7260723792112826e-08
1926,1.2530007812269365e-06,3.6138401239758725e-08
1927,1.2325148190939217e-06,3.3454823229155695e-08
1928,1.2147566427042226e-06,3.3773100998375176e-08
1929,1.214481796653542e-06,3.3110457090376344e-08
1930,1.1870899275631279e-06,3.3348543101599914e-08
1931,1.1703894447886602e-06,3.008702044647395e-08
1932,1.165268859689864e-06,2.9012009953152277e-08
1933,1.1514377677355827e-06,2.61831964918992e-08
1934,1.1218582877907984e-06,2.402164060523658e-08
1935,1.1097876040366828e-06,2.5631665337818736e-08
1936,1.0672173808805901e-06,2.4677807559341554e-08
1937,1.048556855818918e-06,2.4896985885623583e-08
1938,1.0054491862579847e-06,2.5343813143357304e-08
1939,9.783437836371637e-07,2.4628533752084943e-08
1940,9.677665389062895e-07,2.4255794412691197e-08
1941,9.81260841724309e-07,2.750176079725973e-08
1942,9.646086596148962e-07,2.648873855973629e-08
1943,9.760683659416308e-07,2.9957385667372146e-08
1944,9.650864529118865e-07,2.831309512238026e-08
1945,9.697964661167395e-07,2.8095207779291594e-08
1946,9.442453980617367e-07,2.8174108094144605e-08
1947,9.196087213630173e-07,3.3659318348406534e-08
1948,8.90149351562286e-07,3.060771001729888e-08
1949,8.679439734545927e-07,3.071634895641345e-08
1950,8.351500387756719e-07,2.8593683991979494e-08
1951,8.189189039902496e-07,2.981537968896727e-08
1952,7.922314629078236e-07,2.8940977677852483e-08
1953,8.037410858768064e-07,2.845666160647805e-08
1954,7.900292757767602e-07,2.4236828710666455e-08
1955,7.746975500465072e-07,2.5729938885848165e-08
1956,7.673219377985723e-07,2.494950894295554e-08
1957,7.570370225299225e-07,2.3794608604894256e-08
1958,7.490260713893804e-07,2.3659234884724053e-08
1959,7.429302156327009e-07,2.3332551696286785e-08
1960,7.185160565573565e-07,2.2828954730570924e-08
1961,7.038059136123463e-07,2.2338771630111713e-08
1962,6.87429990518597e-07,2.338431566241615e-08
1963,6.741233684286791e-07,2.357979849075344e-08
1964,6.872224064734058e-07,2.3442004385262494e-08
1965,6.846455562481424e-07,2.2797304734454926e-08
1966,7.065829907203027e-07,2.3893562695847285e-08
1967,7.151704802968847e-07,2.311508707854491e-08
1968,7.150760146552264e-07,2.2381166915806464e-08
1969,7.209858543839281e-07,2.0805006689661454e-08
1970,7.083051757815286e-07,2.0382663239766026e-08
1971,6.806222765070353e-07,1.8815574431840787e-08
1972,6.656136244081219e-07,1.8301556096008853e-08
1973,6.310714379001833e-07,1.711479843957697e-08
1974,6.039971773524095e-07,1.7351439354773568e-08
1975,5.895878497800108e-07,1.7452190127577513e-08
1976,5.644383398768176e-07,1.630176992799865e-08
1977,5.568500114350172e-07,1.6350002468975714e-08
1978,5.429629287131579e-07,1.600405092775211e-08
1979,5.351454969318834e-07,1.5196450607800142e-08
1980,5.298651331031579e-07,1.5504895068249195e-08
1981,5.272766380975164e-07,1.5358451528414892e-08
1982,5.195584386845959e-07,1.4796170957105076e-08
1983,5.300482988397042e-07,1.530187597464927e-08
1984,5.397701394420957e-07,1.4775626208662906e-08
1985,5.535802318133522e-07,1.4984157351413278e-08
1986,5.660338371983796e-07,1.5527762381450924e-08
1987,5.797506007963551e-07,1.5635487519784415e-08
1988,5.952377120723083e-07,1.537051771376736e-08
1989,6.112943456823164e-07,1.529297833012335e-08
1990,6.263677667967775e-07,1.4851806175759336e-08
1991,6.460583270901614e-07,1.490029106646481e-08
1992,6.638212702065565e-07,1.5349598385989386e-08
1993,6.77364791304821e-07,1.5711351410350816e-08
1994,7.016985819063848e-07,1.650131735221803e-08
1995,7.234576823326019e-07,1.6648220024784166e-08
1996,7.469370676257572e-07,1.7514394478374788e-08
1997,7.715060113306598e-07,1.8448008095346095e-08
1998,7.814958375244411e-07,1.8574423413704928e-08
1999,7.928019499559014e-07,1.868864729359654e-08
2000,8.099571431330332e-07,1.8986905801071652e-08
