year,pain and suffering,suffering and pain
1900,2.129751066615171e-07,4.313263024524616e-08
1901,2.142077385025587e-07,3.8205841246252704e-08
1902,2.1735786801905615e-07,3.985516087527211e-08
1903,2.1411964893200013e-07,4.1421552410270124e-08
1904,2.1698305978962956e-07,4.010126745747554e-08
1905,2.2434182849513054e-07,4.073616567877382e-08
1906,2.4288637314105544e-07,4.117729246466695e-08
1907,2.494754382441146e-07,3.862797662687204e-08
1908,2.523254496297359e-07,4.2647211920662394e-08
1909,2.6154047843325e-07,4.2961376725944185e-08
1910,2.6858122445120157e-07,4.001861037788196e-08
1911,2.7865566319475376e-07,4.0552967761620096e-08
1912,2.6845875885797963e-07,4.117522810011463e-08
1913,2.794539037160553e-07,4.0936303125072016e-08
1914,2.818590010199097e-07,4.117416552151809e-08
1915,2.9154989773992413e-07,3.918554212857726e-08
1916,2.8950471625543983e-07,3.828402417305199e-08
1917,2.9456516715502854e-07,4.157928791746558e-08
1918,2.9196012513166286e-07,4.077683565409781e-08
1919,2.908655033019768e-07,4.027148969060995e-08
1920,2.655234562379657e-07,4.2611345999318424e-08
1921,2.6264437608114477e-07,4.245405670661689e-08
1922,2.4562124194073475e-07,4.406947770993089e-08
1923,2.398622403476658e-07,4.22597528796206e-08
1924,2.3190239965632996e-07,4.052121467733118e-08
1925,2.360275716063929e-07,4.2656937133361035e-08
1926,2.3069374907988154e-07,4.2489854999518325e-08
1927,2.272100162062759e-07,4.204545996287581e-08
1928,2.2825867124209864e-07,4.280269152604329e-08
1929,2.3412391045704188e-07,4.272750195718647e-08
1930,2.3263238431635103e-07,4.324377858181247e-08
1931,2.3674493544139403e-07,4.4284898993916596e-08
1932,2.3796856622539305e-07,4.4613241363083185e-08
1933,2.4011242551390056e-07,4.3441792869319025e-08
1934,2.4214960820628e-07,4.235412834737876e-08
1935,2.385889180825781e-07,3.979271147512366e-08
1936,2.36662746304945e-07,3.75817296489294e-08
1937,2.2960554265808293e-07,3.961619018547477e-08
1938,2.2055123126220518e-07,3.7576551679764843e-08
1939,2.0906215179662878e-07,3.273899928935009e-08
1940,2.1415564453532353e-07,3.318932393993533e-08
1941,2.1691763567905603e-07,3.9765184272384195e-08
1942,2.401999894382659e-07,4.802623922360384e-08
1943,2.5206135261563697e-07,4.9603965887204786e-08
1944,2.5847250796827227e-07,4.742356613756422e-08
1945,2.7308645877965887e-07,4.648967402312973e-08
1946,2.789510328282674e-07,4.982501199719229e-08
1947,2.700348036764412e-07,5.119215034416718e-08
1948,2.7635958646917864e-07,4.440609370691208e-08
1949,2.6380887344476124e-07,3.8499590372863065e-08
1950,2.5405968735141874e-07,3.83984140039928e-08
1951,2.8070246200455937e-07,4.0085422013471014e-08
1952,2.7667171934428077e-07,4.209722055868527e-08
1953,2.761170161957871e-07,4.249103040056466e-08
1954,2.9593541093061606e-07,4.266105172298243e-08
1955,3.130639793989611e-07,4.252538857559988e-08
1956,3.357038456822511e-07,4.2115972074898064e-08
1957,3.8505521800434395e-07,4.108977469385877e-08
1958,3.7957673976185546e-07,3.95089163726262e-08
1959,3.79739132305712e-07,3.8167646388658534e-08
1960,4.2493852509777644e-07,3.88350773880156e-08
1961,4.2911550100578815e-07,3.8464360407093016e-08
1962,4.42524364358781e-07,4.064528969346551e-08
1963,4.4662684271580743e-07,4.154711083503848e-08
1964,4.1169303702634093e-07,4.439696379976432e-08
1965,4.085279016979066e-07,4.459322828458718e-08
1966,4.2425666763839285e-07,4.47645430921652e-08
1967,4.210955706034675e-07,4.4687068160932856e-08
1968,4.386082242798953e-07,4.484649130228771e-08
1969,4.6239440695420135e-07,4.353316159143108e-08
1970,4.607930590745062e-07,4.284042710261155e-08
1971,4.866336395435512e-07,4.365961416206789e-08
1972,5.813055230825219e-07,4.627400362888778e-08
1973,6.011611635159397e-07,4.832649703824719e-08
1974,6.11672924374521e-07,4.9895608942148884e-08
1975,6.255387844536894e-07,5.1906297890821514e-08
1976,6.264059417203173e-07,5.468401823424277e-08
1977,6.384304848592948e-07,5.644627763613994e-08
1978,6.462750279061831e-07,5.7524200371337845e-08
1979,6.458782468854452e-07,5.8706654061855904e-08
1980,6.768506276090745e-07,6.001411061757572e-08
1981,6.815061533517662e-07,6.124722786081196e-08
1982,7.139795005376268e-07,6.175482344542413e-08
1983,7.339083931055614e-07,6.178908229514946e-08
1984,7.653939714405819e-07,6.35427390070577e-08
1985,7.982985363546342e-07,6.271790737549005e-08
1986,7.824050040231408e-07,6.385106361100107e-08
1987,8.118606871221344e-07,6.596516193597373e-08
1988,8.565217492722304e-07,6.594682282796377e-08
1989,8.841953564240969e-07,6.811000379564852e-08
1990,9.139658388842722e-07,7.026634149135244e-08
1991,9.440731663090672e-07,7.274648792878122e-08
1992,9.853167315705086e-07,7.65060104950572e-08
1993,1.0030404166932224e-06,7.791270614391063e-08
1994,1.01637930833525e-06,8.030284340662267e-08
1995,1.0316589505216761e-06,8.317795249393864e-08
1996,1.0365895913062268e-06,8.42564688178068e-08
1997,1.0461440952878677e-06,8.559387240251023e-08
1998,1.0574962831337111e-06,8.559578834610448e-08
1999,1.0518201122522442e-06,8.572659360162049e-08
2000,1.0580870579701696e-06,8.706115711687445e-08
