year,pans and pots,pots and pans
1900,4.617054849553881e-09,2.752528247135233e-07
1901,3.97823902709149e-09,2.7811737229876954e-07
1902,3.93188840745277e-09,2.741926924491415e-07
1903,3.779203370881033e-09,2.784799694732775e-07
1904,3.540128737774698e-09,2.8275044878472197e-07
1905,3.3568897899500475e-09,2.8518219842764226e-07
1906,4.031972636716778e-09,2.905822764631694e-07
1907,4.304040909389581e-09,3.034046187939359e-07
1908,5.052459284282662e-09,3.1617787524648324e-07
1909,4.623671921523608e-09,3.2562059001531705e-07
1910,5.478235032274625e-09,3.368126118484329e-07
1911,5.510756097480498e-09,3.508102459795889e-07
1912,5.1588981261499865e-09,3.569046588904255e-07
1913,7.0738964447996415e-09,3.6905182254631796e-07
1914,6.60788626197625e-09,3.668338014144774e-07
1915,6.618331811163764e-09,3.6258675815771723e-07
1916,7.775393757419075e-09,3.703194626185941e-07
1917,7.231917128639306e-09,3.6689973521258116e-07
1918,7.866949980339655e-09,3.6249127174528943e-07
1919,8.42292188377566e-09,3.694498795305177e-07
1920,5.754163161825992e-09,3.687529163211499e-07
1921,7.409349086654313e-09,3.751925887037924e-07
1922,7.2172480848818415e-09,3.83436847883889e-07
1923,7.451916750333965e-09,3.926744084575035e-07
1924,7.789127073490728e-09,3.963070980986646e-07
1925,6.732767185039076e-09,4.0130977104123134e-07
1926,6.194470507964971e-09,4.1752776332369485e-07
1927,6.520096867174934e-09,4.379476052283695e-07
1928,5.105988116443123e-09,4.480111999478303e-07
1929,4.876248397131126e-09,4.503870009640666e-07
1930,3.38471438971715e-09,4.6699314212464825e-07
1931,3.5477100384413114e-09,4.827726391352729e-07
1932,4.047212573013834e-09,4.993854501985798e-07
1933,4.151996817786901e-09,5.104790199439435e-07
1934,5.085300609180316e-09,5.142658027043215e-07
1935,5.153754629410351e-09,5.190022434042874e-07
1936,5.299597332404054e-09,5.330494662178102e-07
1937,5.5418504071472594e-09,5.191927612914681e-07
1938,5.1121543823537e-09,5.198372674541929e-07
1939,5.45144336021914e-09,5.399696939102837e-07
1940,5.617090697335974e-09,5.526930776219732e-07
1941,5.69302928608652e-09,5.78580245142695e-07
1942,6.288411410640801e-09,5.8381288473416e-07
1943,5.720992140340846e-09,6.015037908075576e-07
1944,6.612661085370064e-09,6.293682741631557e-07
1945,6.494996350271874e-09,6.360471114558968e-07
1946,6.234834743728308e-09,6.127286114995403e-07
1947,6.896057249049039e-09,5.902280841217435e-07
1948,5.758523784799812e-09,5.611339782036444e-07
1949,5.163410302496832e-09,5.555107430562803e-07
1950,6.032712408986031e-09,5.435583776731383e-07
1951,5.672310494324912e-09,5.345640708499997e-07
1952,5.896443079832027e-09,5.383957494434608e-07
1953,5.593020173983681e-09,5.364952719537947e-07
1954,4.802068393721421e-09,5.356677509179723e-07
1955,4.862632709188932e-09,5.260883089481487e-07
1956,4.554293926111492e-09,5.19357433979652e-07
1957,3.932253380055175e-09,5.048137455673388e-07
1958,4.048816647030306e-09,4.836100308468007e-07
1959,3.5065131750603282e-09,4.628340174292081e-07
1960,3.403567067072899e-09,4.494288085497646e-07
1961,3.4275300256744347e-09,4.376991869582879e-07
1962,3.2244553892026217e-09,4.258117733334034e-07
1963,3.3993220183159423e-09,4.1551727557122475e-07
1964,3.267643976829453e-09,4.026374874145842e-07
1965,3.0614747126289643e-09,3.9249890626535944e-07
1966,3.3227417840984786e-09,3.851458097844532e-07
1967,3.557070003625183e-09,3.839534907790209e-07
1968,3.61931646557829e-09,3.7778242229740453e-07
1969,3.624359955013899e-09,3.757288706194929e-07
1970,3.3170296350907134e-09,3.8444205983724694e-07
1971,3.4711570601991023e-09,3.9156186287010133e-07
1972,3.17010920688635e-09,4.004244398281287e-07
1973,2.9918332256073654e-09,4.1077112815963393e-07
1974,2.9972102914634286e-09,4.2111251584233044e-07
1975,2.7260459306566176e-09,4.298615888639493e-07
1976,2.6388612584764863e-09,4.4262812240855205e-07
1977,2.5966615227071952e-09,4.4333851136256287e-07
1978,2.609557292476694e-09,4.4622841390205637e-07
1979,2.9056234402651575e-09,4.5031253640256554e-07
1980,3.0986794003722603e-09,4.527634094309008e-07
1981,2.7572654219344882e-09,4.497727483787628e-07
1982,2.9257852708035922e-09,4.530131966059717e-07
1983,3.2227351640498216e-09,4.5353541151221014e-07
1984,3.297981512884185e-09,4.554594151987398e-07
1985,3.3119359021156165e-09,4.625034292057454e-07
1986,3.003815198560871e-09,4.676952353018951e-07
1987,2.776829728458528e-09,4.6984130351392294e-07
1988,3.0442477606212086e-09,4.807141695500101e-07
1989,2.887000228165729e-09,4.859519586730698e-07
1990,2.903111986918283e-09,4.884143528981002e-07
1991,2.927403234503118e-09,4.908235702316688e-07
1992,2.9436401847794863e-09,4.935797507852969e-07
1993,2.9322154971946263e-09,4.956661846681039e-07
1994,2.798830860525506e-09,4.979604009136551e-07
1995,2.9049703525621926e-09,4.964410735196014e-07
1996,2.9380165552412536e-09,4.978717642600827e-07
1997,2.8764418912228885e-09,5.042043751402048e-07
1998,2.878314994912238e-09,5.075767320524468e-07
1999,2.849840281815563e-09,5.073311212910881e-07
2000,2.9333730826308635e-09,5.059199150725391e-07
