year,peace and quiet,quiet and peace
1900,4.4701431395344216e-07,5.293354483904e-08
1901,4.456936471886053e-07,5.486902182605391e-08
1902,4.6021462126362894e-07,5.855131982035467e-08
1903,4.6165010944168976e-07,5.7242325078389814e-08
1904,4.618629404008954e-07,5.777427503866101e-08
1905,4.678437309938285e-07,6.014711204490755e-08
1906,4.6198946430336155e-07,6.378625161396201e-08
1907,4.67844700123367e-07,6.667877037815271e-08
1908,4.707019357777905e-07,6.57709349681314e-08
1909,4.607545166671453e-07,6.305992971451196e-08
1910,4.598065513101395e-07,6.695544617946984e-08
1911,4.6180248184210117e-07,6.619488900667341e-08
1912,4.500659068286593e-07,6.538127594086468e-08
1913,4.468025100694868e-07,6.212952313733311e-08
1914,4.4242942303413765e-07,6.109009982800475e-08
1915,4.390583810488989e-07,6.185028141235196e-08
1916,4.3548062246743874e-07,6.211328367517715e-08
1917,4.3055950634965766e-07,6.083219888137442e-08
1918,4.199669179559353e-07,6.256028677637765e-08
1919,4.243142903545153e-07,5.733768120614562e-08
1920,4.338624165172484e-07,5.591240216849615e-08
1921,4.4066172138241507e-07,5.538814806804737e-08
1922,4.3395960893009645e-07,5.5831925432110145e-08
1923,4.3401214216182945e-07,5.528528725294381e-08
1924,4.397812411064247e-07,5.266411010459596e-08
1925,4.51631989235273e-07,5.139860532426305e-08
1926,4.6281327183349064e-07,5.4256409278062375e-08
1927,4.6648658066520253e-07,5.3458430705953316e-08
1928,4.800481258219033e-07,5.663322803574543e-08
1929,4.953983575742678e-07,5.617264969837166e-08
1930,5.099565862286074e-07,5.61268166625923e-08
1931,5.152809403925168e-07,5.6942274919067973e-08
1932,5.241823506046169e-07,5.794452999165399e-08
1933,5.325470637806973e-07,5.9330595841051396e-08
1934,5.368817905804235e-07,6.241403036463414e-08
1935,5.281459511000516e-07,6.177990381970944e-08
1936,5.451514600058566e-07,6.191986565548138e-08
1937,5.524951322793166e-07,5.965860013144666e-08
1938,5.52299348699492e-07,5.798751760512287e-08
1939,5.45249559629519e-07,5.553438996758991e-08
1940,5.36189755024579e-07,5.342225419178805e-08
1941,5.405303274022952e-07,5.0428020600560124e-08
1942,5.423937335935491e-07,4.774414057757375e-08
1943,5.330553067046344e-07,4.476065894122781e-08
1944,5.162350493272327e-07,4.638666249525057e-08
1945,5.132432257764259e-07,4.509643761593399e-08
1946,5.039285283186296e-07,4.567535738519979e-08
1947,4.968371352427018e-07,4.413462351138264e-08
1948,4.834649737376193e-07,4.3689844567548364e-08
1949,4.805306057192078e-07,4.282835565559497e-08
1950,4.6899946339250066e-07,4.2550634523789e-08
1951,4.7226535203139163e-07,4.0130644252123204e-08
1952,4.766085143056589e-07,4.093643514644997e-08
1953,4.914028419099127e-07,3.937872518543019e-08
1954,5.060493831278632e-07,3.807151365593191e-08
1955,5.155443253888693e-07,3.6789322279050044e-08
1956,5.135763033578147e-07,3.4517666050845215e-08
1957,5.214792377916666e-07,3.4043807955226006e-08
1958,5.186899177786078e-07,3.3038962078084966e-08
1959,5.129927779393537e-07,3.1891667762978005e-08
1960,5.071068960939482e-07,3.051685112942515e-08
1961,4.945901230790639e-07,3.0733215464603554e-08
1962,4.831268594391551e-07,2.98420687724502e-08
1963,4.912670842508302e-07,3.01976265778706e-08
1964,4.833085468661633e-07,2.880081238181604e-08
1965,4.824894499488863e-07,2.9082173197414463e-08
1966,4.850361108627814e-07,2.7999612331067577e-08
1967,4.892735329902515e-07,2.8268520441132594e-08
1968,4.921291598363503e-07,2.7171732276874497e-08
1969,5.006159967204026e-07,2.7550358300265643e-08
1970,4.953567314431544e-07,2.6873053005083136e-08
1971,4.961325755305422e-07,2.6369084891810143e-08
1972,4.949152831049527e-07,2.5674211609879753e-08
1973,4.916518483761527e-07,2.566383828069999e-08
1974,4.790275534968406e-07,2.423520882786713e-08
1975,4.758806780382128e-07,2.4885312037227688e-08
1976,4.6606850461523255e-07,2.2662666711502155e-08
1977,4.6518568076945955e-07,2.202804512606095e-08
1978,4.6328360348013575e-07,2.142982407994852e-08
1979,4.6170449044932334e-07,2.0576394903413864e-08
1980,4.6641431542379254e-07,1.9745927105709245e-08
1981,4.7159678574969017e-07,1.8959993481972226e-08
1982,4.7277080675708507e-07,1.7493910189506478e-08
1983,4.773145887743928e-07,1.778384058863975e-08
1984,4.8372959545898e-07,1.7701247120860408e-08
1985,4.920160871422853e-07,1.6699617401218425e-08
1986,5.008496656458812e-07,1.6144627307653914e-08
1987,5.040866400169668e-07,1.5909470278883753e-08
1988,5.120290526493066e-07,1.611455118352304e-08
1989,5.203147072244516e-07,1.6091549541265493e-08
1990,5.23636479129611e-07,1.527264301335953e-08
1991,5.247285136559095e-07,1.4178138318150195e-08
1992,5.227789252287047e-07,1.4617019223974104e-08
1993,5.236206349782232e-07,1.4521464742979693e-08
1994,5.253354871115333e-07,1.453679289442622e-08
1995,5.237199049038363e-07,1.4258383364868747e-08
1996,5.257370894184987e-07,1.380384590164509e-08
1997,5.352267076525712e-07,1.3837259352222908e-08
1998,5.348624085854681e-07,1.4191808940985004e-08
1999,5.405572466088414e-07,1.4057813169099377e-08
2000,5.457373165596024e-07,1.4113166461882098e-08
