year,salt and vinegar,vinegar and salt
1900,1.96276698921638e-08,1.5069476999585163e-08
1901,2.1536336591854167e-08,1.4190045227735481e-08
1902,2.337381204327767e-08,1.318175396614052e-08
1903,2.4636095711080434e-08,1.3139206119941856e-08
1904,2.472944028124908e-08,1.2567373253169478e-08
1905,2.7306982000993178e-08,1.3058873490504447e-08
1906,2.6833710705823473e-08,1.2997556951356767e-08
1907,2.8179298624689663e-08,1.4468552467228333e-08
1908,2.7395836995783695e-08,1.442435879469731e-08
1909,2.723539148176611e-08,1.7153791649031954e-08
1910,2.7056509445598313e-08,1.699800042783853e-08
1911,3.076434058295925e-08,1.8150545978899502e-08
1912,2.8164344903888353e-08,1.7498201308553873e-08
1913,3.102307692483462e-08,1.6487115831306402e-08
1914,2.968958790721438e-08,1.4169030924739344e-08
1915,2.9054752215262877e-08,1.4887798898450503e-08
1916,2.7580076064229582e-08,1.3132137377525055e-08
1917,2.7889642738111927e-08,1.2990439644612805e-08
1918,2.6665479966960148e-08,1.029247963048517e-08
1919,2.6345396356549803e-08,1.0444120298761358e-08
1920,2.2876598631300334e-08,1.0345408989793318e-08
1921,2.4866936319613486e-08,1.1771995608470372e-08
1922,2.3914719569719167e-08,1.2139621665051081e-08
1923,2.4016904774461423e-08,1.2308048493091052e-08
1924,2.3983976368427814e-08,1.2292203310781957e-08
1925,2.2939501258851484e-08,1.3710011911463991e-08
1926,2.754615188330486e-08,1.5221093124002342e-08
1927,2.665260072960101e-08,1.6973298877509535e-08
1928,2.490155237566682e-08,1.6632315953073777e-08
1929,2.553615487320217e-08,1.6091644223464082e-08
1930,2.4756967254013773e-08,1.5502160840722267e-08
1931,2.3583138886174027e-08,1.546641984325906e-08
1932,2.3270451740157027e-08,1.497932276630008e-08
1933,2.0903612499686578e-08,1.6898684174204703e-08
1934,2.335691088952073e-08,1.7043968355715374e-08
1935,2.277853386071068e-08,1.7037819353772828e-08
1936,2.3320467945620038e-08,1.741319232457477e-08
1937,2.3403524237622774e-08,1.7998982153916946e-08
1938,2.264533087238872e-08,2.111938765933122e-08
1939,2.3834738809609083e-08,2.0263659329865036e-08
1940,2.3109982094648984e-08,1.8187796348355182e-08
1941,2.1810748302668925e-08,1.8867345780953267e-08
1942,2.2382747195364468e-08,2.002688302495313e-08
1943,2.1784016225799367e-08,1.976248449014102e-08
1944,2.2763251688357707e-08,1.9110421324773445e-08
1945,2.1918817483257417e-08,1.651736605426787e-08
1946,2.0754665184887144e-08,1.697893447267467e-08
1947,2.184908309832423e-08,1.8146952607267508e-08
1948,2.0819067247934697e-08,1.605698694641587e-08
1949,1.9518320816734406e-08,1.4382166307098337e-08
1950,2.028747804670518e-08,1.3502540331865122e-08
1951,1.8948432117011597e-08,1.3744026083895022e-08
1952,1.9227649908756406e-08,1.409021383696236e-08
1953,1.7946339200428492e-08,1.3991314813071348e-08
1954,1.6465198189002143e-08,1.2523881328821825e-08
1955,1.97101331763808e-08,1.2510576693650473e-08
1956,1.971623659573802e-08,1.2900542015589369e-08
1957,1.8219458608470518e-08,1.3655995536757511e-08
1958,1.854883735497026e-08,1.2822142676980976e-08
1959,1.9185112554165332e-08,1.1572124342107417e-08
1960,1.8869668442857346e-08,1.163160120205247e-08
1961,2.0232512859541526e-08,1.121551479862529e-08
1962,1.706169847864076e-08,1.1875736156368483e-08
1963,1.6190558469305772e-08,1.1559826627673329e-08
1964,1.6691465233785256e-08,1.1148013857280909e-08
1965,1.6063144766701295e-08,1.1494863580826679e-08
1966,1.4928124431046186e-08,1.2445408941503494e-08
1967,1.5350042118341837e-08,1.243962488572947e-08
1968,1.3687378056356383e-08,1.224187177025929e-08
1969,1.4733296174343887e-08,1.1531297698454322e-08
1970,1.5366869058976362e-08,1.1878136359420668e-08
1971,1.5584957078841807e-08,1.186607376246762e-08
1972,1.5839927861424234e-08,1.2132939109748316e-08
1973,1.7133763245493128e-08,1.2525609359238996e-08
1974,1.7243509223671286e-08,1.3060412913855146e-08
1975,1.7525208776244683e-08,1.3565691780221504e-08
1976,1.744204720337856e-08,1.4612496865296087e-08
1977,1.852654842236591e-08,1.488870160691404e-08
1978,1.8568610214906933e-08,1.5553283161384712e-08
1979,1.8822808543959646e-08,1.6391692035457236e-08
1980,1.8177043277302548e-08,1.5997977799640595e-08
1981,1.823546510222001e-08,1.6586248023840536e-08
1982,1.8234363293099876e-08,1.6853119477347863e-08
1983,1.7209861127457215e-08,1.678117148811482e-08
1984,1.6064325405621257e-08,1.672012416219028e-08
1985,1.663255674062241e-08,1.7211998572440127e-08
1986,1.6693541469793768e-08,1.6993208253244877e-08
1987,1.7633559517322387e-08,1.7371908324546684e-08
1988,1.770624897296751e-08,1.6806912030748703e-08
1989,1.8562145818428507e-08,1.671222321840217e-08
1990,1.899216481106501e-08,1.6542601235276192e-08
1991,1.907926252899182e-08,1.682847840443559e-08
1992,1.829517442304101e-08,1.7655993288433003e-08
1993,1.885267380501749e-08,1.8289788952201884e-08
1994,1.850455684912092e-08,1.8121553693144817e-08
1995,1.9434151990064104e-08,1.810412553898688e-08
1996,1.9957177930082385e-08,1.8358768843445324e-08
1997,2.1307677078110018e-08,1.8272922095084543e-08
1998,2.2118327349061422e-08,1.8598542179717088e-08
1999,2.3472973313676258e-08,1.7315990459565446e-08
2000,2.428121113375037e-08,1.6527807317201493e-08
